묶음	번호	이름	문(어디로)	이용허락	승인	우리지면	잰날	비고
공공데이터포털·산업인력공단	15029006	국가기술자격 대학별 학과 데이터	openapi.q-net.or.kr/api/service/rest/InquiryUnivUdeptSVC/getList	제한 없음	개발·운영 자동	/university /major	2026-08-15	
공공데이터포털·산업인력공단	15037355	국가자격 계열별 학과 정보	InquirySeriesUdeptSVC/getList	제한 없음	개발·운영 자동	/major	2026-08-15	
공공데이터포털·산업인력공단	15037356	국가기술자격 학과별 직무정보	InquiryUdeptObligSVC/getList	제한 없음	개발·운영 자동	/major	2026-08-15	학과코드로 위 둘과 이어진다
공공데이터포털·산업인력공단	15040841	국가기술자격 지역별 자격취득	InquiryRgnQualSVC/getAgeList·getGenList·getYearList	제한 없음	개발·운영 자동	/report/area	2026-08-15	⛔ rank(순위) 칸은 쓰지 않는다 ⚠ 2026-08-16 08:2x 3번이 열어 보려다 **못 열었다** — 서비스는 code 00 인데 items 가 빈다. baseYY·quart 를 네 가지로 바꿔 봐도 0줄. 인자 이름을 모른다. ⛔ 「자료가 없다」가 아니라 **못 열었다**로 적는다. 다음엔 포털 명세부터 받는다
공공데이터포털·산업인력공단	15039800	국가기술자격 취득 관련 현황	InquiryQualRelaPtcondSVC (오퍼 9개)	제한 없음	개발·운영 자동	/age /work	2026-08-15	취득 소요일수 · 성별·연령·학력·행정구역
공공데이터포털·산업인력공단	15037521	국가자격 취득자 관련 통계	InquiryAcquStatisSVC/getEuhistLIst·getAgeList	제한 없음	개발·운영 자동	/age	2026-08-15	
공공데이터포털·산업인력공단	15025329	산업인력 국가기술자격 통계	(pdf 명세)	제한 없음	개발·운영 자동	총괄	2026-08-15	
공공데이터포털·산업인력공단	15089357	전공별 국가기술자격 취득현황	InquiryMjrQualSVC/getList	제한 없음	개발 자동 / **운영 심의**	/major	2026-08-15	관련전공 여부 칸이 있다
공공데이터포털·커리어넷	15057878	커리어넷 대학학과정보	career.go.kr/cnet/openapi/getOpenApi svcCode=MAJOR	공공누리 1유형	개발·운영 자동	/major	2026-08-15	졸업 후 임금·취업률·관련 고교 선택과목
공공데이터포털·커리어넷	15056641	커리어넷 직업정보	getOpenApi svcCode=JOB	공공누리 1유형	개발·운영 자동	/work	2026-08-15	연봉·일자리전망·발전가능성·유사직업
공공데이터포털·커리어넷	15058917	커리어넷 학교정보	getOpenApi svcCode=SCHOOL	공공누리 1유형	개발·운영 자동	/university	2026-08-15	NEIS 와 겹친다 — 캠퍼스만 새것
공공데이터포털·커리어넷	15058948	진로심리검사	(안 쓴다)	🔴 공공누리 **4유형**	개발·운영 자동	⛔ 안 쓴다	2026-08-15	상업적 이용금지 — 우리는 표를 판다
공공데이터포털·커리어넷	15059442·15057742	진로상담사례	(안 쓴다)	공공누리 1유형	개발·운영 자동	⛔ 안 쓴다	2026-08-15	아이가 혼자 AI 와 대화하는 경로를 만들지 않는다
공공데이터포털·대학알리미	15158963 외 4	대학 기본정보·교원연구·교육여건·재정·산학협력	REST 오픈API	제한 없음	(안 쟀다)	/university	2026-08-15	🟢 이 다섯이 정본이다
공공데이터포털·대학알리미	15139338	학교별 학부·학과(전공) 리스트	🔴 기관자체 «바로가기»	제한 없음	-	-	2026-08-15	바로가기 끝이 robots 로 막힌 academyinfo.go.kr — 안 간다
기관 누리집·대학알리미	-	academyinfo.go.kr	🔴 robots 「Disallow: /」	-	-	⛔ 긁지 않는다	2026-08-15	
hrd4u·ISC/RSC	-	보고서 PDF 4.3GB · 표 34,602개 대장	hrd4u.or.kr /isc /rsc	🔴 무단복제·배포 금지	-	길잡이로만	2026-08-13~15	표의 «원 자료»를 찾는 데 쓴다
krivet·KEEP	-	설문지·코드북 (변수 16,102줄)	krivet.re.kr/kor/sub.do?menuSn=20	🟡 공공누리 표시 없음	데이터는 동의서	읽는 데까지	2026-08-15	
keis·고용조사	-	GOMS·YP·KLoSA·KLoEE 227벌 (변수 84,903줄)	survey.keis.or.kr /cmm/fms/asaproFileDown.do	🟡 공공누리 표시 없음	원자료는 이용목적 설문	읽는 데까지	2026-08-15	YP 에 성장지·학교소재지·현직장소재지가 다 있다
q-net	-	국가기술자격 통계연보 (엑셀)	q-net.or.kr/crf012.do	🟡 표시 없음	-	읽는 데까지	2026-08-13	같은 것이 포털에 「제한 없음」으로 있다
받아 본 것·qnet	15037356	학과별직무 (받았다)	InquiryUdeptObligSVC/getList	제한 없음	개발·운영 자동	🟢 /major	2026-08-15	13,698줄 · totalCount 와 일치 · 학과 8,202 · 직무 24갈래 · 37.8%가 여러 갈래에 걸친다
받아 본 것·qnet	15029006	대학별학과 (받았다)	InquiryUnivUdeptSVC/getList	제한 없음	개발·운영 자동	🟢 /university	2026-08-15	692줄 · totalCount 와 일치
받아 본 것·qnet	15037355	계열별학과 (받았다)	InquirySeriesUdeptSVC/getList	제한 없음	개발·운영 자동	🟡 쓸 데 적음	2026-08-15	53줄뿐 · pageNo·numOfRows·seriesCd 를 다 무시한다(청소년상담사 한 계열만 온다)
받아 본 것·qnet	15039800	취득 소요기간 (받았다)	InquiryQualRelaPtcondSVC/getQualTimeList	제한 없음	개발·운영 자동	🟢 /age /work	2026-08-15	471줄 · 가운데값 기능사 250일·기사 480·기술사 1,108 · ⚠ 기능장 28종목이라 최소분모 30 미달
받아 본 것·qnet	15039800	취득 연령·성별 (받았다)	InquiryQualRelaPtcondSVC/getQualYearList	제한 없음	개발·운영 자동	🟢 /age	2026-08-15	962줄 · 나이는 미상 0(20~24세 39.6%) · 성별 여자 58.2% · 🔴 같은 표의 «학력»은 미상 97%라 못 쓴다
받아 본 것·qnet	15039800	취득 행정구역별 (받았다)	InquiryQualRelaPtcondSVC/getAdminZoneList	제한 없음	개발·운영 자동	🔴 안 쓴다	2026-08-15	313줄 · **행정구역미상 554,225 vs 열일곱 시도 합 6만** — 90%가 지역 없음 · 제주/제주특별자치도 두 이름
받아 본 것·qnet	15039800	취득 학력별 (받았다)	InquiryQualRelaPtcondSVC/getEhstList	제한 없음	개발·운영 자동	🔴 안 쓴다	2026-08-15	2,800/4,101 (28쪽부터 코드 99 · 깊이 제한) · 미상 73% · 「고졸이하 0.0%」는 안 적힌 것이다
받아 본 것·qnet	15039800	신설종목 취득 (받았다)	InquiryQualRelaPtcondSVC/getNewJmcdList	제한 없음	개발·운영 자동	🟢 시계열	2026-08-15	7,912줄 = 280종목 × 2001~2023 · 2018년 133,856이 꼭대기 · 2020년 113,060으로 꺾인다
⛔ 안 간다·워크넷	15003549 외	워크넷 학과정보·직업전망·공통코드	work24 213L01 등	🔴 공공누리 **4유형**(상업적 이용금지)	-	⛔ 안 쓴다	2026-08-15	.env 의 WORK24_KEY_MAJOR 등 여섯 열쇠는 뚫어도 못 쓴다 · 213L01 은 「계열ID」에서 막히는데 뚫을 까닭이 없다
