# 감수 도장 — 첫 화면과 값 받는 화면은 감수 없이 배포하지 않는다
# 사장님 지시(2026-09-10): 「5번 총괄은 모든 유닛에 대해 감수를 한다.
#                        모든 유닛은 자기 외 유닛에 대해 감수한다」
# 고리: 1번→3번 · 3번→6번 · 6번→1번 · 5번→3번 (그 위에 5번이 전부를 본다)
# 파일	해시	감수한이	시각	판정	왜
src/pages/index.astro	cdd90b8ef1163fe5	5번	2026-09-10 13:21 KST	기준선(이미 라이브)	오늘 이미 라이브인 상태를 기준선으로 둔다 — 이 뒤에 고치면 감수를 받는다
src/pages/wikitip/index.astro	aed47a8215de981a	5번	2026-09-10 13:21 KST	기준선(이미 라이브)	오늘 이미 라이브인 상태를 기준선으로 둔다 — 이 뒤에 고치면 감수를 받는다
src/pages/100y/index.astro	3363eabce7cf4e05	5번	2026-09-10 13:21 KST	기준선(이미 라이브)	오늘 이미 라이브인 상태를 기준선으로 둔다 — 이 뒤에 고치면 감수를 받는다
src/pages/100y/price.astro	e187598329a53960	5번	2026-09-10 13:21 KST	기준선(이미 라이브)	오늘 이미 라이브인 상태를 기준선으로 둔다 — 이 뒤에 고치면 감수를 받는다
src/pages/100y/refund.astro	42ddfafe804e134c	5번	2026-09-10 13:21 KST	기준선(이미 라이브)	오늘 이미 라이브인 상태를 기준선으로 둔다 — 이 뒤에 고치면 감수를 받는다
src/pages/wikitip/index.astro	37cbc8aab01fdc13	3번	2026-09-10 19:38 KST	통과
src/lib/price.ts	9392071817ebc99e	6번	2026-09-10 19:55 KST	통과	
src/pages/100y/report/area/[slug].astro	3659f9b84be89c9d	6번	2026-09-10 19:55 KST	통과	
src/pages/100y/price.astro	a78b177063f69670	6번	2026-09-10 19:55 KST	통과	
src/pages/100y/after/index.astro	0fe5796876313a58	6번	2026-09-10 19:55 KST	통과	
src/pages/100y/refund.astro	202b83ffd7532211	3번	2026-09-11 11:31 KST	통과	
src/pages/index.astro	1e1b5ce58622372f	3번	2026-09-12 10:05 KST	통과	
