# 사라지는 자리를 부르는 곳 — 이 수가 0 이 될 때까지 전환이 끝나지 않았다
# 잰때	2026-09-10 16:59	본파일	3696	찾은곳	118
# 저장소	파일	줄	갈래	글
dataeconomics	docs/3번-hrd4u-isc-자료조사.md	1501	그 유닛의 회신을 기다림	⛔ 그 현황판과 감시기는 다른 유닛 것이라 **내가 고치지 않는다.** 2번께 여쭌 답을 기다린다.
dataeconomics	docs/3번-서버이전-인계.md	32	그 유닛에게 물으라	🔴 **새 서버에서 2번께 이것을 다시 물어라.** 이 답이 없으면 목표 수를 못 믿는다
dataeconomics	docs/3번-제휴폼-문의게시판-설계.md	56	그 유닛에게 물으라	🖐 1번·2번에게 물어야 한다 — 「로그인 없이 묻는 길」을 둘 것인가.
dataeconomics	docs/3번-제휴폼-문의게시판-설계.md	81	그 유닛에게 물으라	⚠ ④의 대장을 **어디에 둘지**가 아직 안 정해졌다. 2번에게 물을 것.
dataeconomics	docs/3번-콘텐트-예약-0817~0820.md	40	그 유닛의 회신을 기다림	⬜ 커리어넷 열쇠 — 2번께 여쭀고 답 대기
dataeconomics	docs/3번-할일-전체.md	178	그 유닛에게 물으라	활용신청 1건이면 열린다. 2번께 요청해 뒀다
dataeconomics	docs/3번-할일-전체.md	301	그 유닛이 한다	⭐ 사장님·3번·2번이 그날 지시하시면 위를 밀고 그것을 먼저 합니다.
dataeconomics	docs/5번-업무-전체목록.md	22	그 유닛이 한다	③ 2번이 거둔 것 — 스포츠 지면은 **개봉 전엔 안 만든다**(B 스포츠 8/29~)                 ✅ 안 만들었다
dataeconomics	docs/5번-업무-전체목록.md	91	그 유닛이 한다	☐ **스포츠 갈래**                 2번이 거뒀다. 개봉 후(8/29~). 지금은 안 만든다
dataeconomics	docs/5번-위키팁-인수인계.md	12	그 유닛이 한다	> 🔴 **3일간(8/5~8/7) 작업지시는 2번이 한다.** 막히면 사장님이 아니라 **나에게** 묻는다.
dataeconomics	docs/5번-케이컬처-사업계획.md	50	그 유닛이 한다	⭐ 자리는 정해졌습니다: 4번이 감명 → 저는 **영어 기사**로 다시 씁니다(번역 아님).
