title,format,countries_reached,weeks_on_chart,peak_rank,attribution,attribution_note
Alchemy of Souls,series,6,45,1,koreaOnly,
Hometown Cha-Cha-Cha,series,6,34,1,koreaOnly,
Squid Game,series,6,29,1,koreaOnly,
Extraordinary Attorney Woo,series,6,29,1,koreaOnly,
Business Proposal,series,6,27,1,shared,title also used by: Hong Kong|South Korea
Solo Leveling,series,6,27,1,not_assessed,
The Trauma Code: Heroes on Call,series,6,27,1,koreaOnly,
Taxi Driver,series,6,25,1,shared,title also used by: Ghana|India|Israel|Nigeria|South Korea|United States
The Glory,series,6,21,1,shared,title also used by: People's Republic of China|South Korea
Can This Love Be Translated?,series,6,18,1,koreaOnly,
Hospital Playlist,series,6,18,1,koreaOnly,
Queen of Tears,series,6,17,1,koreaOnly,
The Uncanny Counter,series,6,17,1,koreaOnly,
The King's Affection,series,6,16,1,koreaOnly,
Gyeongseong Creature,series,6,15,1,koreaOnly,
Our Beloved Summer,series,6,15,1,koreaOnly,
Bloodhounds,series,6,14,1,shared,title also used by: South Korea|United States
King the Land,series,6,14,1,koreaOnly,
True Beauty,series,6,14,1,shared,title also used by: Canada|South Korea|United States
Little Women,series,6,14,1,shared,title also used by: Japan|South Korea|United Kingdom|United States
Our Blues,series,6,14,1,koreaOnly,
Forecasting Love and Weather,series,6,14,1,koreaOnly,
Juvenile Justice,series,6,13,1,koreaOnly,
Love Next Door,series,6,13,1,shared,title also used by: South Korea|Thailand
My Demon,series,6,13,1,koreaOnly,
