house,total_reports,buy_pct,hold_pct,sell_pct,other_pct
"하나증권",740,91.22,1.89,0.00,6.89
"신한투자증권",703,83.64,2.70,0.00,13.66
"키움증권",548,77.55,0.91,0.18,21.35
"미래에셋증권",501,74.25,8.38,0.20,17.17
"대신증권",460,88.26,3.70,0.00,8.04
"유진투자증권",446,86.55,3.36,0.00,10.09
"유안타증권",416,77.64,1.92,0.00,20.43
"한화투자증권",413,92.01,6.78,0.00,1.21
"SK증권",409,80.68,1.71,0.00,17.60
"iM증권",376,83.78,3.99,0.00,12.23
"교보증권",349,90.54,0.57,0.00,8.88
"한국IR협의회",291,0.00,0.00,0.00,100.00
"IBK투자증권",268,87.69,0.37,0.00,11.94
"DS투자증권",254,94.09,0.79,0.79,4.33
"삼성증권",70,100.00,0.00,0.00,0.00
"서울평가정보",56,0.00,0.00,0.00,100.00
"NICE평가정보",45,0.00,0.00,0.00,100.00
"현대차증권",13,100.00,0.00,0.00,0.00
"한국투자증권",7,0.00,0.00,0.00,100.00
"메리츠증권",7,100.00,0.00,0.00,0.00
