sector,source_industry_ksic,company_en,ticker,lead_or_other,market_cap_krw,employees,avg_annual_pay_krw,avg_tenure_years,female_to_male_pay_pct,female_share_pct,market_cap_per_employee_krw
Information Technology,"Electronics and telecom equipment","SAMSUNG ELECTRONICS CO,.LTD",005930,주도주,1438184537568000,128881,157064509,13.73,77.8,26.9,11159011317
Information Technology,"Electronics and telecom equipment","SK hynix Inc.",000660,기타,1218461264820000,34549,185004892,13.43,80.3,33.3,35267627567
Information Technology,"Electronics and telecom equipment","SAMSUNG ELECTRO-MECHANICS CO.,LTD",009150,기타,101284651776000,12173,109530108,15.76,80,23.8,8320434714
Information Technology,"Electronics and telecom equipment","LG ELECTRONICS INC.",066570,기타,29237792521000,34144,117590675,13.76,77.9,16.3,856308356
Information Technology,"Electronics and telecom equipment","DOOSAN CO.,LTD",000150,기타,20404232100000,1749,134630646,13.66,61.5,19.1,11666227616
Information Technology,"Computer programming","SAMSUNG SDS CO., LTD.",018260,기타,17835582900000,11219,138288172,17.2,82.8,26.8,1589765835
Information Technology,"Electronics and telecom equipment","LG INNOTEK CO., LTD.",011070,기타,14223931307000,12211,92627877,9.42,77.6,17,1164845738
Information Technology,"Electronics and telecom equipment","HANWHA SYSTEMS Co., Ltd.",272210,기타,13677763763600,4855,107586406,10.57,78,16,2817253092
Information Technology,"Computer programming","LG CNS Co., Ltd.",064400,기타,7101739988400,6890,115748911,12.89,83.5,26.3,1030731493
Information Technology,"Electronics and telecom equipment","ISUPETASYS CO.,LTD",007660,기타,6217760849300,1368,98486980,12.45,89.2,6.9,4545146820
Information Technology,"Electronics and telecom equipment","DAEDUCK ELECTRONICS CO.,LTD",353200,기타,5253019127500,2633,81525256,9.84,78.6,13.7,1995069931
Information Technology,"Electronics and telecom equipment","LEENO Industrial Inc",058470,기타,5098572765000,677,117014294,9.34,62.9,55.5,7531126684
Information Technology,"Electronics and telecom equipment","LG Display Co., Ltd.",034220,기타,4900000000000,24430,85864347,14.93,75.3,14.3,200573066
