wikidata_q,name,born,kind,is_group,schools,school_count,wikipedia_editions,label_has_hangul
Q12611138,Lee Nan-young,1916-06-06,music,no,,0,6,no
Q12611146,이남이,1948-08-03,music,no,Cheongwon Information Industry High School,1,1,yes
Q12611178,Lee Dae-ro,1939-10-13,acting,no,Yeungnam University,1,2,no
Q12611183,Lee Dae-yeob,1935-05-10,acting,no,Kyungnam University | Changshin High School,2,2,no
Q12611202,Lee Duk-hee,1959-12-27,acting,no,,0,2,no
Q12611259,Lee Dong-jun,1958-10-13,both,no,Cheongju University,1,1,no
Q12611340,Mae-bang Yi,1927-05-05,music,no,,0,1,no
Q12611433,Lee Mi-ja,1941-10-30,music,no,,0,6,no
Q12611449,Lee Min-ja,1929-04-10,acting,no,Muhak Girls' High School,1,1,no
Q15712046,Jang Dong-hwi,1920-06-22,acting,no,Incheon High School,1,1,no
Q15712054,Ko Eun-a,1946-02-16,acting,no,Hongik University,1,5,no
Q15712115,Kim hie-gab,1922-07-18,both,no,Meiji University,1,1,no
Q15712253,Choi Bong,1923-05-25,acting,no,,0,1,no
Q12624353,Han Tae-il,1941-10-16,acting,no,Seorabeol Art College,1,1,no
Q12624812,Heo Gi-ho,1952-03-28,acting,no,Hanyang University,1,1,no
Q12624912,Heo Cham,1949-11-30,music,no,Chung-Ang University | Dong-A University,2,2,no
Q12625064,Hyeon Seok,1947-04-18,acting,no,Sorabol High School,1,1,no
Q12625081,Hyeon In,1919-12-14,music,no,Kyungbock High School,1,1,no
Q12625421,홍수철,1957-01-17,music,no,Korea National Open University,1,1,yes
Q12625447,Hong Yo-seob,1955-07-03,acting,no,Chung-Ang University,1,4,no
Q12625775,황금심,1922-12-10,music,no,,0,1,yes
Q12607838,Oh Mi-hee,1958-05-28,acting,no,Cheongju University,1,1,no
Q12607924,Oh Soo-mi,1949-10-03,acting,no,Korea University,1,3,no
Q12607942,Oh Seung-keun,1951-12-20,music,no,Kyung Hee University | Sudo Electric Technical High School,2,1,no
Q12608143,Oh Hyeon-kyeong,1936-11-11,acting,no,Yonsei University,1,1,no
Q12609768,Yoo Myung-soon,1933-08-29,acting,no,,0,1,no
Q12610090,유현상,1954-01-30,music,no,Kwangwoon University | Dongducheon Elementary School,2,1,yes
Q12610256,Yoon Bok-hee,1946-03-09,both,no,Hanyang University High School,1,4,no
Q12610262,Yun Bong-chun,1902-03-23,acting,no,Korea National Defense University,1,1,no
Q12610328,Yoon So-jeong,1944-07-22,acting,no,,0,2,no
Q12614672,Jang Jeong-guk,1941-09-27,acting,no,Hanyang University,1,1,no
Q12614681,Jang Jung-hee,1958-06-20,acting,no,Seowon University,1,5,no
Q12614774,Jang Hang-seon,1947-02-22,acting,no,Hongik University High School,1,5,no
Q12614782,Janghyun,1956-02-21,music,yes,,0,1,no
Q488873,Epaksa,1954-10-05,music,no,,0,6,no
Q489041,Yeo Woon-kay,1940-02-25,acting,no,Korea University,1,13,no
Q489445,Shim Hyung-rae,1958-01-03,both,no,Yeongdeungpo Middle School | Seoul Youngdengpo Elementary School,2,10,no
Q489630,Jeon Gwang-ryeol,1959-02-11,acting,no,Chugye University for the Arts,1,9,no
Q489737,Yi Seok,1941-08-03,music,no,Hankuk University of Foreign Studies,1,8,no
Q489938,Hwang Jang-lee,1944-12-21,acting,no,,0,15,no
Q490719,Tae Jin Ah,1953-04-05,music,no,Korea National Open University,1,13,no
Q483517,Baek Yoon-sik,1947-03-16,acting,no,Chung-Ang University | Daedong Taxation High School,2,11,no
Q483531,Insooni,1957-04-05,music,no,,0,10,no
Q483578,Byun Hee-bong,1942-06-08,acting,no,Chosun University | Salesian High School,2,16,no
Q483668,Lee Soon-jae,1934-11-16,acting,no,Seoul National University,1,16,no
Q12625899,Hwang Jeong-sun,1925-08-20,acting,no,Dongmyung Girls' High School,1,1,no
Q12962833,Choi Yong-min,1953-08-19,acting,no,Yonsei University,1,2,no
Q12964758,Hong Soun-chang,1947-06-14,acting,no,Sorabol High School,1,3,no
Q12587325,Kim Myung-gon,1952-12-03,acting,no,Seoul National University | Dongguk University,2,5,no
Q12587468,Kim Byung-ki,1948-11-02,acting,no,Chung-Ang University,1,6,no
Q12587566,김상국 (1934년),1934-01-24,both,no,,0,1,yes
Q12587578,김상배,1957-03-10,music,no,,0,1,yes
Q12587631,Kim Sang-hee,1943-03-29,music,no,Korea University,1,1,no
Q12587705,Kim Seong-nyeo,1950-09-16,both,no,Dankook University,1,1,no
Q12587782,김성환 (1950년),1950-05-25,both,no,Kyonggi University,1,1,yes
Q12619527,Choi Dong-joon,1959-08-10,acting,no,Myongji University,1,1,no
Q12619554,Choe Min-hui,1952-12-17,acting,no,,0,1,no
Q12619556,Choi Baek-ho,1950-04-23,music,no,Dongnae Middle School,1,1,no
Q12619565,최병서,1958-01-18,music,no,Soongsil University | Woosong High School,2,1,yes
Q12619601,Choi Seon-ja,1941-11-03,acting,no,Jeonju Gijeon Girls' High School,1,1,no
Q12619606,Choi Sung,1928-10-17,acting,no,Yonsei University Health System,1,1,no
Q12619615,Choi Seong-won,1954-02-09,music,no,Korea University,1,1,no
Q12619689,최영준,1954-07-15,both,no,Inha University,1,1,yes
Q12619799,Choi Il-hwa,1959-05-09,acting,no,,0,7,no
Q109787,Tak Jae-in,1946-06-28,acting,no,,0,2,no
Q153778,Myung-whun Chung,1953-01-22,music,no,,0,22,no
Q195795,Hyun Jae-myung,1902-12-08,music,no,University of Chicago,1,5,no
Q246375,Huh Kyung-young,1947-07-13,music,no,Dongguk University,1,10,no
Q274000,Younghi Pagh-Paan,1945-11-30,other,no,,0,7,no
Q449397,Choi Eun-hee,1926-11-20,both,no,Bosung Girls' High School,1,24,no
Q465263,Yoon Jeong-hee,1944-07-30,acting,no,Korea University,1,17,no
Q277225,Dokgo Young-jae,1953-12-13,acting,no,Baemyung High School,1,6,no
Q320648,Yu Seung-bong,1951-06-08,acting,no,,0,1,no
Q391400,Kyung-wha Chung,1948-03-26,music,no,,0,19,no
Q402179,Ahn Sung-ki,1952-01-01,acting,no,Hankuk University of Foreign Studies,1,15,no
Q6204475,Jo Tongdal,1945-06-06,both,no,Jeonju Elementary School,1,3,no
Q6267954,Johnny Yune,1936-10-22,acting,no,Sungdong High School,1,8,no
Q6362185,Kang Hyo-shil,1932-02-10,acting,no,,0,5,no
Q6372726,Im Bang-ul,1905-04-20,music,no,,0,3,no
Q6408371,Kim Bo-yeon,1957-12-31,both,no,Anyang Arts High School,1,9,no
Q6450007,Kwak Dae Hong,1956-01-23,acting,no,,0,1,no
Q6450513,Kwon Hyeok Soo,1954-10-09,acting,no,,0,2,no
Q6685085,Jung Young-sook,1947-04-01,acting,no,Sookmyung Women's University,1,3,no
Q6686093,Jeong Jae-sun,1947-03-15,acting,no,,0,5,no
Q6747187,Baek Seol-hee,1924-01-29,both,no,,0,3,no
Q6758320,Ban Hyo-jeong,1942-11-27,acting,no,Ewha Womans University,1,13,no
Q6762495,Hong Yeo-jin,1958-02-05,acting,no,University of California,1,9,no
Q6408879,Kim Ji-mee,1940-07-15,acting,no,Duksung Girls' High School,1,6,no
Q6408887,Kim Ji Yeong,1938-09-25,acting,no,,0,3,no
Q6408893,Kim Jin-hi,1957-02-06,music,no,,0,5,no
Q6408910,Kim Jin-kyu,1922-04-06,both,no,Daejeon High School,1,7,no
Q12967049,Lee Dae-geun,1943-07-01,acting,no,Seorabeol Art College,1,1,no
Q12971226,Song Seung-whan,1957-01-10,acting,no,Hankuk University of Foreign Studies,1,6,no
Q12972674,Yang Jae Sung,1945-03-15,acting,no,Chung-Ang University,1,1,no
Q6617244,Nam Jin,1946-09-27,acting,no,Hanyang University,1,6,no
Q6665629,Han Hye-sook,1951-08-20,acting,no,Duksung Girls' High School,1,13,no
Q6679622,Kim Chang-suk,1949-01-15,acting,no,Kyung Hee University,1,2,no
Q12622551,Ha Chun-hwa,1955-06-28,music,no,Sungkyunkwan University,1,2,no
Q12622549,하청일,1942-04-24,music,no,Sunrin Internet High School,1,1,yes
Q12623950,한돌,1953-01-30,music,no,,0,1,yes
Q12623991,Han Myeong-hwan,1943-04-21,acting,no,,0,1,no
Q12624232,Han In-soo,1947-07-30,acting,no,Korea University,1,1,no
Q12624334,Han Jin-hee,1949-03-14,acting,no,Yonsei University,1,6,no
Q12612110,Lee Ye-chun,1919-07-20,acting,no,Paichai High School,1,1,no
Q12612157,Lee Yongbok,1952-06-27,music,no,,0,2,no
Q12612236,이원발,1958-05-17,acting,no,,0,1,yes
Q12612252,Lee Won-jae,1958-08-16,acting,no,,0,1,no
Q12612330,Lee Eun-gwan,1917-11-27,music,no,,0,1,no
Q12612400,Lee In-ok,1953-07-12,acting,no,Dongmyung Girls' High School,1,1,no
Q12612408,Lee In-cheol,1951-07-08,acting,no,,0,1,no
Q12613810,Lim Dong-jin,1944-04-27,acting,no,Korea National Open University | Luther University,2,3,no
Q12613825,Im Baek-cheon,1958-05-30,both,no,Sungkyunkwan University,1,1,no
Q12613867,Im Sung-hoon,1950-07-28,music,no,Yonsei University,1,1,no
Q12613904,임웅균,1955-10-06,music,no,Yonsei University,1,1,yes
Q12613979,Im Chae-mu,1949-09-02,both,no,Chung-Ang University | Sorabol High School,2,6,no
Q12614018,Lim Hae-lim,1922-12-12,acting,no,,0,1,no
Q12614430,장두석,1957-09-29,music,no,Kyung Hee University,1,1,yes
Q12614537,Jang Se-jeong,1921-05-28,both,no,,0,2,no
Q12614658,Jang In-han,1918-10-02,acting,no,,0,1,no
Q12622379,하남석,1949-01-24,music,no,Myongji University,1,1,yes
Q12622398,Ha Deok-seong,1955-06-22,acting,no,,0,1,no
Q12622440,Hah Myung-joong,1947-05-14,acting,no,Hankuk University of Foreign Studies,1,6,no
Q12965340,Jo Yang-ja,1955-06-24,acting,no,,0,1,no
Q12589226,Kim Hyun-sik,1958-01-07,music,no,Seoul Suyu Elementary School,1,6,no
Q12589351,Kim Hwan-jin,1952-10-03,acting,no,,0,1,no
Q12589767,Johsel Namkung,1919-04-24,music,no,,0,2,no
Q12589768,남궁옥분,1958-10-02,music,no,,0,1,yes
Q12590379,Noh Sa-yeon,1957-03-03,both,no,Dankook University,1,11,no
Q12590404,No Young-guk,1948-12-23,both,no,Seoul Institute of the Arts,1,1,no
Q12590453,Noh Joo-hyun,1946-08-19,acting,no,Hanyang University,1,5,no
Q483798,Kun-Woo Paik,1946-05-10,music,no,,0,14,no
Q484165,Lee Soo-man,1952-06-18,music,no,"Seoul National University | California State University, Northridge | Kyungbock High School",3,30,no
Q484216,Na Hoon-a,1947-02-11,both,no,Choryang Elementary School | Sorabol High School,2,5,no
Q12972710,Yeon Kyu Jin,1945-12-08,acting,no,Dongguk University,1,2,no
Q13423095,Choi Jung-woo,1957-02-17,acting,no,,0,12,no
Q13432198,Duk Kyu Ha,1958-07-21,music,yes,Chugye University for the Arts,1,1,no
Q13432200,한명숙,1935-12-01,both,no,,0,1,yes
Q15344562,Yang Hee-kyung,1954-12-03,both,no,Seoul Institute of the Arts,1,10,no
Q15463476,Jeong Gyu-su,1957-09-05,acting,no,,0,2,no
Q6679997,Kim Ae-kyung,1950-02-12,acting,no,Dongduk Women's University,1,2,no
Q6680063,Kim Hye-ok,1958-05-09,acting,no,Chung-Ang University | Seoul Institute of the Arts,2,11,no
Q6681300,Kim Young-ae,1951-04-21,acting,no,Haeyeon Girl's High School,1,17,no
Q6961093,Nam Jeong-im,1945-07-21,acting,no,Hanyang University,1,5,no
Q6961101,Namkoong Won,1934-08-01,acting,no,Hanyang Technical High School,1,5,no
Q7080586,Oh Jeong-suk,1935-06-21,music,no,,0,2,no
Q7137607,Park Am,1924-02-29,acting,no,Seoul National University,1,4,no
Q7137915,Park No-sik,1930-02-04,acting,no,Suncheon Technical High School,1,4,no
Q12615031,Jeon Gook-hwan,1952-07-21,acting,no,Chosun University Affiliated High School,1,3,no
Q12615129,Jeon Mu-song,1941-09-28,acting,no,Seoul Institute of the Arts,1,5,no
Q12615210,Jeon Yang-ja,1942-02-20,acting,no,Seorabeol Art College | Jinmyeong Girls' High School,2,1,no
Q12615227,Jeon Un,1938-12-07,acting,no,Seorabeol Art College,1,1,no
Q491013,Youn Yuh-jung,1947-06-19,acting,no,Hanyang University,1,35,no
Q491371,Ahn Suk-hwan,1959-11-01,acting,no,Dankook University,1,9,no
Q493135,Jo Young-nam,1945-05-13,music,no,Seoul National University,1,7,no
Q12965409,Ju Yong-man,1957-02-07,acting,no,Baemoon High School,1,1,no
Q12966394,Kim Bok-hee,1935-01-05,acting,no,Seorabeol Art College,1,1,no
Q12966414,Kim Ha-gyun,1959-08-23,acting,no,Dong-A University | Busan Jungang High School,2,1,no
Q12966421,Kim Hui-jin,1958-04-26,acting,no,,0,1,no
Q12596714,Park Sang-jo,1945-12-24,acting,no,Chung-Ang University,1,1,no
Q12596831,Park Seung-tae,1947-11-15,acting,no,,0,2,no
Q4423246,Jo Kyung-hwan,1945-03-10,acting,no,Hanyang University,1,6,no
Q4696237,Ahn In-sook,1952-10-18,acting,no,Chung-Ang University,1,8,no
Q4696253,Ahn So-young,1959-08-12,acting,no,Jeonghwa Girls' Commercial High School,1,7,no
Q4848967,Bak Il,1949-09-02,both,no,,0,3,no
Q6775198,Jang Gwang,1952-01-05,acting,no,,0,9,no
Q6784089,Park Geun-hyung,1940-06-07,acting,no,Seorabeol Art College,1,9,no
Q484380,Moon Sung-keun,1953-05-28,acting,no,Sogang University,1,10,no
Q484471,Kim Hae-suk,1955-12-30,acting,no,Kyung Hee University,1,20,no
Q484489,Kimera,1954-01-10,music,no,École Normale de Musique de Paris Alfred Cortot | Sungshin Women's University,2,7,no
Q15729503,Lee Yeong-ok,1955-08-15,acting,no,,0,1,no
Q15985306,김복희,1928-03-31,music,no,Ewha Womans University,1,1,yes
Q15985309,이승희 (1954년),1954-11-03,music,no,Korea University,1,1,yes
Q16019704,Alan Heyman,1931-03-16,other,no,,0,3,no
Q16067979,Kim Tae-hun,1946-05-01,acting,no,,0,1,no
Q16068137,Bok Hye-suk,1904-06-07,music,no,,0,1,no
Q16068230,Lee Kyeong-yeong,1958-06-16,acting,no,Seoul Institute of the Arts,1,1,no
Q16068576,Jang Min-ho,1924-09-29,acting,no,,0,1,no
Q1146912,Soon-Tek Oh,1932-06-29,acting,no,"University of Southern California | University of California, Los Angeles",2,20,no
Q1279627,Kim Tai-chung,1957-06-05,acting,no,,0,13,no
Q1580046,Kim Yong-gun,1946-05-08,acting,no,Yonsei University | Yongsan High School,2,9,no
Q15650508,Gi Ju-bong,1955-09-03,acting,no,Seorabeol Art College | Sorabol High School | Sorabol Middle school,3,7,no
