year,series,measure,value,unit,source
2005,music_exports,total,22278,thousand USD,KOSIS DT_113_STBL_1020468
2005,music_exports,Japan,801,thousand USD,KOSIS DT_113_STBL_1020468
2005,music_exports,Europe,1600,thousand USD,KOSIS DT_113_STBL_1020468
2005,music_exports,Other,30,thousand USD,KOSIS DT_113_STBL_1020468
2005,music_exports,Unclassified,19847,thousand USD,KOSIS DT_113_STBL_1020468
2006,music_exports,total,16666,thousand USD,KOSIS DT_113_STBL_1020468
2006,music_exports,Japan,14309,thousand USD,KOSIS DT_113_STBL_1020468
2006,music_exports,Greater China,850,thousand USD,KOSIS DT_113_STBL_1020468
2006,music_exports,Southeast Asia,621,thousand USD,KOSIS DT_113_STBL_1020468
2006,music_exports,North America,49,thousand USD,KOSIS DT_113_STBL_1020468
2006,music_exports,Europe,549,thousand USD,KOSIS DT_113_STBL_1020468
2006,music_exports,Other,288,thousand USD,KOSIS DT_113_STBL_1020468
2007,music_exports,total,13885,thousand USD,KOSIS DT_113_STBL_1020468
2007,music_exports,Japan,9431,thousand USD,KOSIS DT_113_STBL_1020468
2007,music_exports,Greater China,1665,thousand USD,KOSIS DT_113_STBL_1020468
2007,music_exports,Southeast Asia,2061,thousand USD,KOSIS DT_113_STBL_1020468
2007,music_exports,North America,306,thousand USD,KOSIS DT_113_STBL_1020468
2007,music_exports,Europe,217,thousand USD,KOSIS DT_113_STBL_1020468
2007,music_exports,Other,205,thousand USD,KOSIS DT_113_STBL_1020468
2008,music_exports,total,16468,thousand USD,KOSIS DT_113_STBL_1020468
2008,music_exports,Japan,11215,thousand USD,KOSIS DT_113_STBL_1020468
2008,music_exports,Greater China,1844,thousand USD,KOSIS DT_113_STBL_1020468
2008,music_exports,Southeast Asia,2569,thousand USD,KOSIS DT_113_STBL_1020468
2008,music_exports,North America,346,thousand USD,KOSIS DT_113_STBL_1020468
2008,music_exports,Europe,296,thousand USD,KOSIS DT_113_STBL_1020468
2008,music_exports,Other,198,thousand USD,KOSIS DT_113_STBL_1020468
2009,music_exports,total,31269,thousand USD,KOSIS DT_113_STBL_1020468
2009,music_exports,Japan,21638,thousand USD,KOSIS DT_113_STBL_1020468
