name,kind,en_wikipedia_views_30d,daily_avg,peak_day,peak_day_views,views_last_7d,last7_vs_daily_avg,also_on_screen_actor_roster
B.I.G,group,419,14,20260728,32,69,0.74,no
Madtown,group,503,17,20260805,48,176,1.74,no
Uniq (band),group,3115,104,20260717,137,743,1.07,no
Hotshot (band),group,578,19,20260725,31,135,1.13,no
VIXX LR,group,184,6,20260710,14,47,1.18,no
Romeo (band),group,276,9,20260726,20,69,1.53,no
HeartB,group,78,3,20260723,11,11,1,no
Snuper,group,285,10,20260801,16,79,1.34,no
MAP6 (band),group,256,9,20260720,18,46,0.71,no
Double S 301,group,303,10,20260710,16,72,0.88,no
Astro (South Korean band),group,9778,326,20260726,399,2261,0.97,no
Imfact,group,329,11,20260723,19,48,0.56,no
KNK (band),group,1078,36,20260716,67,286,1.42,no
NCT (group),group,21455,715,20260708,3075,3959,0.49,no
Big Brain,group,57,2,20260805,5,12,0.92,no
Drug Restaurant,group,668,22,20260711,35,139,0.84,no
A.cian,group,179,6,20260716,18,36,0.84,no
Boys Generally Asian,group,1378,46,20260806,413,592,2.75,no
SF9,group,4007,134,20260805,202,1182,1.42,no
Exo-CBX,group,1508,50,20260804,80,388,1.2,no
Got7,group,12424,414,20260803,572,3318,1.19,no
Pentagon (South Korean band),group,6104,203,20260721,489,1395,1.64,no
Voisper,group,68,2,20260713,5,15,0.88,no
BtoB Blue,group,203,7,20260716,14,39,0.95,no
Myteen,group,262,9,20260802,19,72,1.71,no
Honeyst,group,185,6,20260721,13,34,0.67,no
TST (band),group,450,15,20260712,51,66,0.31,no
The East Light,group,509,17,20260727,44,119,1.53,no
The Legend (band),group,160,5,20260715,12,35,0.95,no
Golden Child (band),group,2414,80,20260727,115,523,1.02,no
A.C.E (South Korean band),group,1715,57,20260714,77,409,0.94,no
VAV (band),group,618,21,20260715,35,124,0.77,no
Girls' Generation,group,39036,1301,20260805,1913,11067,1.34,no
4Minute,group,3915,131,20260709,178,838,0.86,no
Black Pearl (South Korean group),group,262,9,20260724,16,57,0.9,no
Stellar (group),group,1355,45,20260803,65,365,1.17,no
QBS (group),group,49,2,20260712,5,13,1.3,no
Bestie (group),group,1989,66,20260726,115,464,1.43,no
Super Junior,group,16237,541,20260721,648,3683,1.03,no
2Eyes,group,341,11,20260720,17,72,0.96,no
Wassup (group),group,712,24,20260716,48,115,0.71,no
Sunny Days (group),group,389,13,20260711,23,71,0.68,no
Melody Day (group),group,308,10,20260713,19,73,0.82,no
Bob Girls,group,242,8,20260708,14,52,0.78,no
Mamamoo,group,17223,574,20260731,915,4433,1.32,no
Red Velvet (group),group,30348,1012,20260803,2194,10726,1.92,no
4L (group),group,204,7,20260712,12,50,0.96,no
Badkiz,group,177,6,20260801,15,51,1.65,no
Laboum,group,1412,47,20260729,83,323,1,no
GWSN,group,1042,35,20260722,53,203,0.76,no
Gugudan SeMiNa,group,680,23,20260726,35,122,0.65,no
SS501,group,3105,104,20260730,138,671,0.87,no
The Boss (band),group,409,14,20260728,23,84,0.79,no
SG Wannabe,group,1169,39,20260726,55,265,0.97,no
Supreme Team (band),group,366,12,20260730,28,68,0.71,no
C-Clown,group,1095,37,20260709,48,241,0.87,no
Tasty (band),group,397,13,20260723,35,104,2.67,no
Speed (South Korean band),group,929,31,20260710,47,231,0.98,no
1TYM,group,1566,52,20260708,71,369,0.94,no
DMTN,group,587,20,20260714,37,122,0.82,no
BB Girls,group,6504,217,20260716,658,975,0.95,no
B1A4,group,3559,119,20260710,334,817,0.7,no
Jinusean,group,1902,63,20260709,172,461,0.83,no
Supernova (South Korean group),group,568,19,20260712,31,136,0.98,no
N-Train,group,155,5,20260712,10,38,0.93,no
Led Apple,group,382,13,20260730,29,85,1.01,no
F.Cuz,group,880,29,20260712,45,205,0.83,no
15&,group,1010,34,20260716,44,228,1,no
AOA (group),group,6786,226,20260727,290,1633,1.12,no
Skarf,group,844,28,20260801,98,274,1.97,no
Gangkiz,group,226,8,20260726,13,67,1.56,no
Fiestar,group,1022,34,20260731,52,268,1.08,no
Dal Shabet,group,1508,50,20260731,74,382,1.2,no
Chocolat (group),group,731,24,20260709,104,148,0.58,no
EXID,group,4302,143,20260723,185,941,0.9,no
Spica (group),group,914,30,20260714,55,186,0.8,no
C-REAL,group,184,6,20260720,13,35,0.8,no
Boys24,group,411,14,20260721,21,86,0.83,no
Stray Kids,group,58615,1954,20260726,3483,14865,1.22,no
DKZ,group,847,28,20260722,49,205,1.04,no
Wanna One,group,8170,272,20260726,320,2014,1.01,no
ONF (band),group,1430,48,20260714,83,355,0.87,no
JBJ (band),group,883,29,20260723,44,220,1.27,no
IZ (band),group,274,9,20260727,14,72,1.26,no
Seven O'Clock,group,180,6,20260804,13,55,1.62,no
Rainz,group,135,5,20260711,8,29,1.04,no
The Boyz (South Korean band),group,9213,307,20260806,3157,4279,3.24,no
Onewe,group,1203,40,20260716,68,310,1.24,no
Skye (group),group,376,13,20260805,24,85,1.02,no
TRCNG,group,356,12,20260710,19,82,1.01,no
NCT Dream,group,5565,186,20260708,387,1200,0.75,no
Target (South Korean band),group,111,4,20260721,9,25,0.83,no
Troy (band),group,146,5,20260801,11,37,1.19,no
UNB (group),group,1269,42,20260713,73,206,0.55,no
NTB (band),group,118,4,20260712,13,24,0.89,no
NCT 127,group,11439,381,20260708,1137,2952,0.98,no
D-Crunch,group,182,6,20260709,15,46,1.05,no
Kenta Sanggyun,group,173,6,20260724,15,38,1.12,no
