house,reports_scored,hit_rate_pct,avg_target_upside_pct,avg_realized_return_pct
DB금융투자,344,49.4,28.6,38.1
현대차증권,21,33.3,37.4,28.1
iM증권,117,31.6,40.6,29.8
SK증권,1068,30.8,36.6,20.7
케이프투자증권,236,27.1,34.5,15.8
메리츠증권,28,25,34.2,15
키움증권,1378,24.7,37.1,14.9
삼성증권,179,24,44.1,8.1
DS투자증권,540,23.5,37,15.7
하나증권,3063,22.8,40.6,13
유안타증권,910,22.6,41,11.3
미래에셋증권,1726,21.6,37.7,10.1
신한투자증권,1749,21.6,38.1,9.2
교보증권,1272,21.4,35,11.8
IBK투자증권,719,20.6,39,8.2
이베스트증권,1890,18.7,32.6,3.2
한화투자증권,990,16.6,44.6,3.9
유진투자증권,1005,16.3,39.6,3
대신증권,1524,15.9,39.6,2.2
하이투자증권,736,13.2,34.4,-1.2
