ticker,name_ko,name_en,market,dart_corp,industry_code,industry_name_ko,industry_name_en,is_preferred_share,parent_ticker,entity_type,dart_status,match_method,close_price_krw,market_cap_krw,price_as_of
900110,딥커머스,Deep Commerce Limited,KOSDAQ,00799070,64992,금융업,Financial Services,false,,,matched,ticker,1201,22142994331,20260908
900270,헝셩그룹,HENG SHENG HOLDING GROUP COMPANY LIMITED,KOSDAQ,01160512,64992,금융업,Financial Services,false,,,matched,ticker,2960,31708372480,20260908
900260,로스웰,"ROTHWELL INTERNATIONAL CO., LIMITED",KOSDAQ,01139266,64992,금융업,Financial Services,false,,,matched,ticker,1876,86351728456,20260908
900290,GRT,Great Rich Technologies Limited,KOSDAQ,01170962,64992,금융업,Financial Services,false,,,matched,ticker,3925,327778885200,20260908
900300,오가닉티코스메틱,ORGANIC TEA COSMETICS HOLDINGS COMPANY LIMITED,KOSDAQ,01169434,64992,금융업,Financial Services,false,,,matched,ticker,3500,72030339500,20260908
900310,컬러레이,"Coloray International Investment Co., Limited",KOSDAQ,01236286,649,금융업,Financial Services,false,,,matched,ticker,2200,28178337000,20260908
900340,윙입푸드,WING YIP FOOD HOLDINGS GROUP LIMITED,KOSDAQ,01328639,64992,금융업,Financial Services,false,,,matched,ticker,1349,48001105468,20260908
000020,동화약품,"DONGWHA PHARM.CO.,LTD",KOSPI,00119195,212,의료용 물질·의약품,Medicinal Substances and Pharmaceuticals,false,,,matched,ticker,5220,145802273400,20260908
000040,KR모터스,"KR MOTORS CO., LTD",KOSPI,00112378,319,기타 운송장비,Other Transport Equipment,false,,,matched,ticker,1177,20332717372,20260908
000050,경방,KYUNGBANG LTD,KOSPI,00101628,47119,소매업,Retail Trade,false,,,matched,ticker,8140,223160297800,20260908
000070,삼양홀딩스,Samyang Holdings Corporation,KOSPI,00126937,64992,금융업,Financial Services,false,,,matched,ticker,60400,468896736400,20260908
000080,하이트진로,HITE JINRO,KOSPI,00150244,11122,음료 제조,Beverage Manufacturing,false,,,matched,ticker,15380,1078654937180,20260908
000087,하이트진로2우B,HITE JINRO (preferred),KOSPI,00150244,11122,음료 제조,Beverage Manufacturing,true,000080,preferred_share,matched_via_parent,preferred_parent_ticker,12380,13991108440,20260908
000100,유한양행,YUHAN CORPORATION,KOSPI,00145109,212,의료용 물질·의약품,Medicinal Substances and Pharmaceuticals,false,,,matched,ticker,79100,5823008277100,20260908
000105,유한양행우,YUHAN CORPORATION (preferred),KOSPI,00145109,212,의료용 물질·의약품,Medicinal Substances and Pharmaceuticals,true,000100,preferred_share,matched_via_parent,preferred_parent_ticker,69100,79350294000,20260908
000120,CJ대한통운,CJ Logistics Corporation ,KOSPI,00113410,493,육상운송,Land Transport,false,,,matched,ticker,73600,1678988518400,20260908
000140,하이트진로홀딩스,"HITEJINRO HOLDINGS CO., LTD",KOSPI,00148993,64992,금융업,Financial Services,false,,,matched,ticker,8000,185654120000,20260908
000145,하이트진로홀딩스우,"HITEJINRO HOLDINGS CO., LTD (preferred)",KOSPI,00148993,64992,금융업,Financial Services,true,000140,preferred_share,matched_via_parent,preferred_parent_ticker,9220,4340868200,20260908
000150,두산,"DOOSAN CO.,LTD",KOSPI,00117212,26221,전자부품·컴퓨터·통신장비,"Electronic Components, Computers, and Communication Equipment",false,,,matched,ticker,1247000,20193712245000,20260908
000155,두산우,"DOOSAN CO.,LTD (preferred)",KOSPI,00117212,26221,전자부품·컴퓨터·통신장비,"Electronic Components, Computers, and Communication Equipment",true,000150,preferred_share,matched_via_parent,preferred_parent_ticker,429000,1714482198000,20260908
000157,두산2우B,"DOOSAN CO.,LTD (preferred)",KOSPI,00117212,26221,전자부품·컴퓨터·통신장비,"Electronic Components, Computers, and Communication Equipment",true,000150,preferred_share,matched_via_parent,preferred_parent_ticker,348500,311223743000,20260908
000180,성창기업지주,Sungchang Enterprise Holdings Limited.,KOSPI,00133335,71531,전문서비스업,Professional Services,false,,,matched,ticker,5170,72123154400,20260908
0001A0,덕양에너젠,,KOSDAQ,,,,,false,,,not_matched,,8980,228711278760,20260908
000210,DL,"DL Holdings CO.,LTD",KOSPI,00109693,20111,화학물질·화학제품,Chemicals and Chemical Products,false,,,matched,ticker,53900,1129522147600,20260908
000215,DL우,"DL Holdings CO.,LTD (preferred)",KOSPI,00109693,20111,화학물질·화학제품,Chemicals and Chemical Products,true,000210,preferred_share,matched_via_parent,preferred_parent_ticker,25000,42152875000,20260908
000220,유유제약,"Yuyu Pharma, Inc.",KOSPI,00144818,212,의료용 물질·의약품,Medicinal Substances and Pharmaceuticals,false,,,matched,ticker,3880,61100152560,20260908
000225,유유제약1우,"Yuyu Pharma, Inc. (preferred)",KOSPI,00144818,212,의료용 물질·의약품,Medicinal Substances and Pharmaceuticals,true,000220,preferred_share,matched_via_parent,preferred_parent_ticker,3670,8319633100,20260908
000227,유유제약2우B,"Yuyu Pharma, Inc. (preferred)",KOSPI,00144818,212,의료용 물질·의약품,Medicinal Substances and Pharmaceuticals,true,000220,preferred_share,matched_via_parent,preferred_parent_ticker,7410,2393133600,20260908
000230,일동홀딩스,"ILDONG HOLDINGS CO.,LTD ",KOSPI,00146083,212,의료용 물질·의약품,Medicinal Substances and Pharmaceuticals,false,,,matched,ticker,6200,71550480000,20260908
000240,한국앤컴퍼니,"HANKOOK & COMPANY CO., LTD.",KOSPI,00160047,64992,금융업,Financial Services,false,,,matched,ticker,24000,2278445760000,20260908
000250,삼천당제약,SAM CHUN DANG PHARM CO. LTD,KOSDAQ,00128546,212,의료용 물질·의약품,Medicinal Substances and Pharmaceuticals,false,,,matched,ticker,162900,3821222188800,20260908
000270,기아,KIA CORPORATION,KOSPI,00106641,30121,자동차·트레일러,Motor Vehicles and Trailers,false,,,matched,ticker,125400,48957789949200,20260908
000300,DH오토넥스,"DHAUTONEX CO.,LTD",KOSPI,00126089,303,자동차·트레일러,Motor Vehicles and Trailers,false,,,matched,ticker,4200,174035631000,20260908
000320,노루홀딩스,"NOROO HOLDINGS CO., LTD",KOSPI,00113508,64992,금융업,Financial Services,false,,,matched,ticker,17120,227544505120,20260908
