report_id,published_on,analyst_name,broker,ticker,sector,rating,target_price,prev_target_price,target_change
652206,2026-09-09,양승윤,유진투자증권,,기계,,,,
652205,2026-09-09,"민경원,임환열",우리은행,,,,,,
652204,2026-09-08,이환욱,유안타증권,,,,,,
652203,2026-09-08,"황규원, 서석준",유안타증권,,화학,,,,
652201,2026-09-08,고선영,유안타증권,,"전기,전자",,,,
652200,2026-09-08,,유안타증권,,,,,,
652199,2026-09-08,sk증권 리서치센터,SK증권,,,,,,
652198,2026-09-08,최관순,SK증권,,코스피 200 에너지화학,,,,
652197,2026-09-08,투자분석부,IBK투자증권,,,,,,
652196,2026-09-08,"기간산업분석부, 혁신기업분석부",IBK투자증권,,,,,,
652195,2026-09-08,"이승훈, 박상준",IBK투자증권,,인터넷,,,,
652194,2026-09-08,"장호, 이상헌",iM증권,004170,,Buy,680000,,new
652193,2026-09-08,이상수,iM증권,,기계,,,,
652192,2026-09-08,성종화,LS증권,015760,,Buy,48000,52000,lowered
652191,2026-09-08,이재혁,LS증권,,코스피 200 조선운송,,,,
652190,2026-09-08,"백종석,김지은",한국IR협의회,170790,,투자의견없음,,,
652189,2026-09-08,이서연,상상인증권,,운송,,,,
652188,2026-09-08,"박세연,김예인",한화투자증권,,,,,,
652187,2026-09-08,"문경원,이동석",메리츠증권,,건설업,,,,
652186,2026-09-08,리서치센터,메리츠증권,,,,,,
652185,2026-09-08,리서치센터,대신증권,,,,,,
652184,2026-09-08,"양승윤,임범수",유진투자증권,,운송,,,,
652183,2026-09-08,황성현,유진투자증권,,화학,,,,
652182,2026-09-08,양승윤,유진투자증권,,기계,,,,
652181,2026-09-08,"민경원,임환열",우리은행,,,,,,
652180,2026-09-07,"김승준,이금민",한국IR협의회,086820,,투자의견없음,,,
652179,2026-09-07,최규호,한화투자증권,,,,,,
652177,2026-09-07,김윤상,iM증권,,철강및금속,,,,
652176,2026-09-07,투자분석부,IBK투자증권,,,,,,
652175,2026-09-07,기간산업분석부・혁신기업분석부,IBK투자증권,,,,,,
652174,2026-09-07,이현욱,IBK투자증권,,운송장비·부품,,,,
652173,2026-09-07,"이승훈, 박상준",IBK투자증권,,인터넷,,,,
652172,2026-09-07,SK증권리서치센터,SK증권,,,,,,
652171,2026-09-07,신윤정,SK증권,,,,,,
652170,2026-09-07,조준기,SK증권,,,,,,
652169,2026-09-07,형권훈,SK증권,090430,,매수,180000,180000,held
652168,2026-09-07,양승수,메리츠증권,441270,,Buy,13000,12000,raised
652167,2026-09-07,양승수,메리츠증권,,IT H/W,,,,
652165,2026-09-07,형권훈,SK증권,257720,,매수,62000,57000,raised
652164,2026-09-07,"이승훈,박민서",메리츠증권,,,,,,
652163,2026-09-07,"김정욱,황홍진",메리츠증권,,음식료품,,,,
652162,2026-09-07,형권훈,SK증권,192820,,매수,350000,250000,raised
652161,2026-09-07,형권훈,SK증권,278470,,매수,560000,560000,held
652160,2026-09-07,"이경연,이채리",대신증권,,,,,,
652159,2026-09-07,형권훈,SK증권,161890,,매수,180000,170000,raised
652158,2026-09-07,리서치센터,대신증권,,,,,,
652157,2026-09-07,이환욱,유안타증권,,,,,,
652156,2026-09-07,리서치센터,유안타증권,,,,,,
652155,2026-09-07,리서치센터,유안타증권,,,,,,
652154,2026-09-07,김용민,유안타증권,,운송,,,,
652153,2026-09-07,,유안타증권,,,,,,
652152,2026-09-07,성종화,LS증권,,"전기,전자",,,,
652151,2026-09-07,최관순,SK증권,,코스피 200 에너지화학,,,,
652150,2026-09-07,최관순,SK증권,,코스피 200 에너지화학,,,,
652149,2026-09-07,나승두,SK증권,,코스닥지수,,,,
652148,2026-09-07,형권훈,SK증권,,코스피 200 필수소비재,,,,
652147,2026-09-07,양승윤,유진투자증권,,기계,,,,
652146,2026-09-07,"류태환,조유진",유진투자증권,,건설업,,,,
652145,2026-09-07,한병화,유진투자증권,,코스피 200 에너지화학,,,,
652144,2026-09-07,황성현,유진투자증권,,코스피 200 에너지화학,,,,
652143,2026-09-07,"민경원,임환열",우리은행,,,,,,
652142,2026-09-04,"정수현,채윤석",한국IR협의회,265740,,투자의견없음,,,
652141,2026-09-04,투자전략팀,상상인증권,,,,,,
652140,2026-09-04,엄수진,한화투자증권,,,,,,
652139,2026-09-04,박제인,한화투자증권,,,,,,
652138,2026-09-04,박세연,한화투자증권,,,,,,
652137,2026-09-04,"김소혜,김나우",한화투자증권,286940,,Buy,30000,,new
652136,2026-09-04,투자전략팀,한화투자증권,,,,,,
652135,2026-09-04,김예슬,IBK투자증권,,,,,,
652134,2026-09-04,투자분석부,IBK투자증권,,,,,,
652133,2026-09-04,"정용택, 김희주",IBK투자증권,,,,,,
652132,2026-09-04,"기간산업분석부, 혁신기업분석부",IBK투자증권,,,,,,
652131,2026-09-04,"이승훈, 박상준",IBK투자증권,,인터넷,,,,
652130,2026-09-04,이동욱,IBK투자증권,,,,,,
652129,2026-09-04,이환욱,유안타증권,,,,,,
652128,2026-09-04,리서치센터,유안타증권,,,,,,
652127,2026-09-04,최관순,SK증권,,,,,,
652126,2026-09-04,최관순,SK증권,,코스피 200 에너지화학,,,,
652125,2026-09-04,sk증권 리서치센터,SK증권,,,,,,
652124,2026-09-04,양승수,메리츠증권,148150,,Buy,6500,6500,held
652123,2026-09-04,이지니,대신증권,028670,,N/A,8000,,new
652122,2026-09-04,"박혜진,권용수",대신증권,005830,,Buy,250000,,new
652121,2026-09-04,리서치센터,대신증권,,,,,,
652120,2026-09-04,이재일,유진투자증권,,운송,,,,
652119,2026-09-04,양승윤,유진투자증권,,기계,,,,
652118,2026-09-04,정의훈,유진투자증권,,기계,,,,
652117,2026-09-04,이재일,유진투자증권,,운송,,,,
652116,2026-09-04,"민경원,임환열",우리은행,,,,,,
652115,2026-09-03,김예슬,IBK투자증권,,,,,,
652114,2026-09-03,투자분석부,IBK투자증권,,,,,,
652113,2026-09-03,"기간산업분석부, 혁신기업분석부",IBK투자증권,,,,,,
652112,2026-09-03,"이승훈, 박상준",IBK투자증권,,인터넷,,,,
652111,2026-09-03,이동욱,IBK투자증권,,,,,,
652110,2026-09-03,SK증권 리서치센터,SK증권,,,,,,
652109,2026-09-03,최관순,SK증권,,코스피 200 에너지화학,,,,
652108,2026-09-03,박제민,SK증권,,반도체,,,,
652107,2026-09-03,이동주,SK증권,004990,,매수,33000,,new
652106,2026-09-03,이환욱,유안타증권,,,,,,
652105,2026-09-03,"권명준,서석준",유안타증권,,반도체,,,,
652104,2026-09-03,"최현재, 이안나",유안타증권,,,,,,
652103,2026-09-03,성종화,LS증권,062040,,Buy,290000,215000,raised
652102,2026-09-03,홍성기,LS증권,,전기가스업,,,,
652101,2026-09-03,최예찬,상상인증권,,,,,,
652100,2026-09-03,투자전략팀,상상인증권,,,,,,
652099,2026-09-03,안현국,한화투자증권,,,,,,
652098,2026-09-03,김성래,한화투자증권,,운송,,,,
652096,2026-09-03,양승수,메리츠증권,007810,,Buy,90000,95000,lowered
652095,2026-09-03,이진아,메리츠증권,,,,,,
652094,2026-09-03,홍가혜,대신증권,196170,,Buy,450000,410000,raised
652093,2026-09-03,리서치센터,대신증권,,,,,,
652092,2026-09-03,양승윤,유진투자증권,,기계,,,,
652091,2026-09-03,"민경원,임환열",우리은행,,,,,,
652090,2026-09-02,"고의영,박정하",iM증권,009150,,Buy,2000000,2300000,lowered
652089,2026-09-02,투자분석부,IBK투자증권,,,,,,
652088,2026-09-02,이현욱,IBK투자증권,,운송,,,,
652087,2026-09-02,기간산업분석부・혁신기업분석부,IBK투자증권,,,,,,
652086,2026-09-02,"이승훈, 박상준",IBK투자증권,,인터넷,,,,
652085,2026-09-02,"김운호, 고혁진",IBK투자증권,,,,,,
652084,2026-09-02,이동욱,IBK투자증권,,,,,,
652083,2026-09-02,sk증권 리서치센터,SK증권,,,,,,
652082,2026-09-02,장영임,SK증권,,증권,,,,
652081,2026-09-02,전배승,LS증권,,증권,,,,
652080,2026-09-02,이병근,LS증권,,운송,,,,
652079,2026-09-02,이병,LS증권,,반도체,,,,
652078,2026-09-02,박지빈,LS증권,,제조업,,,,
652077,2026-09-02,"이승은, 조계철",유안타증권,192820,,Buy,363000,,new
652076,2026-09-02,이환욱,유안타증권,,,,,,
652075,2026-09-02,이승웅,유안타증권,,반도체,,,,
652074,2026-09-02,이승웅,유안타증권,,통신업,,,,
652073,2026-09-02,"채윤석,정수현",한국IR협의회,027710,,투자의견없음,,,
652072,2026-09-02,김경태,상상인증권,,금융업,,,,
652070,2026-09-02,투자전략팀,상상인증권,,,,,,
652069,2026-09-02,"박준영,김나우",한화투자증권,,반도체,,,,
652068,2026-09-02,박유진,한화투자증권,,,,,,
652067,2026-09-02,권지우,한화투자증권,,철강및금속,,,,
652066,2026-09-02,"조아해,공건희",메리츠증권,,금융업,,,,
652065,2026-09-02,양승수,메리츠증권,009150,,투자의견없음,,,
