ticker,name_en,name_ko,filing_id,instrument_type,board_resolution_date,instrument_kind_ko,total_face_value_krw,coupon_rate_pct,maturity_rate_pct,maturity_date,strike_price_krw,strike_ratio_pct,strike_window_start,strike_window_end,refix_floor_price_krw,refix_floor_note,subscription_date,payment_date,private_placement
900260,"ROTHWELL INTERNATIONAL CO., LIMITED",로스웰인터내셔널유한회사,20200601000239,CB,2020-06-01,무기명식 무보증 사모 전환사채,14851200000,0,2,2023-06-30,463,100,2021-06-30,2023-05-30,,,2020-06-01,2020-06-30,private
105840,WOOJIN INC,(주)우진,20180628000419,CB,2018-06-21,무기명식 이권부 담보부 사모 전환사채,9500000000,2,3,2023-06-22,6848,100,2019-06-22,2023-05-22,,,2018-06-22,2018-06-22,private
105840,WOOJIN INC,(주)우진,20170825000369,CB,2017-08-25,무기명식 이권부 무보증 사모 전환사채,10000000000,1,3,2022-08-29,6119,100,2018-08-29,2022-07-29,,,2017-08-29,2017-08-29,private
105840,WOOJIN INC,(주)우진,20211007000372,CB,,,,,,,,,,,,,,,private
105840,WOOJIN INC,(주)우진,20180919000307,EB,2018-09-19,무기명식 이권부 무보증 사모 교환사채,2712900000,0,4,2023-09-27,5699,100,2018-09-28,2023-08-27,,"not applicable (EB is exchanged for already-issued shares, not newly issued)",2018-09-21,2018-09-27,private
217500,"RUSSELL CO., LTD.",(주)러셀,20210412003099,CB,2021-04-12,무기명식 이권부 무보증 사모 전환사채,10000000000,0,0,2026-04-14,6060,100,2022-04-14,2026-03-14,4245,,2021-04-14,2021-04-14,private
900300,ORGANIC TEA COSMETICS HOLDINGS COMPANY LIMITED,오가닉티코스메틱스홀딩스컴퍼니리미티드,20211018000282,CB,2020-04-24,해외 기명식 무보증 사모 전환사채,24704000000,1,,2023-05-14,1650,100,2021-05-14,2023-05-14,1155,,2020-04-24,2020-05-14,private
900300,ORGANIC TEA COSMETICS HOLDINGS COMPANY LIMITED,오가닉티코스메틱스홀딩스컴퍼니리미티드,20210901000475,CB,2021-09-01,"해외 기명식 무보증
사모 전환사채",15137200000,0,5,2024-09-30,1155,100,2022-09-30,2024-09-29,809,,2021-09-01,2021-09-30,private
900300,ORGANIC TEA COSMETICS HOLDINGS COMPANY LIMITED,오가닉티코스메틱스홀딩스컴퍼니리미티드,20210514001395,CB,2021-04-23,해외 기명식 무보증 사모 전환사채,5028300000,0,5,2024-05-14,1155,100,2022-05-14,2024-04-14,808,,2021-04-23,2021-05-14,private
900300,ORGANIC TEA COSMETICS HOLDINGS COMPANY LIMITED,오가닉티코스메틱스홀딩스컴퍼니리미티드,20230518000172,CB,2023-05-12,"해외 기명식 무보증
사모 전환사채",6510000000,1,6,2026-05-18,217,100,2024-05-19,2026-04-18,152,,2023-05-12,2023-05-19,private
900300,ORGANIC TEA COSMETICS HOLDINGS COMPANY LIMITED,오가닉티코스메틱스홀딩스컴퍼니리미티드,20241104000284,CB,2024-11-04,"해외 기명식 무보증

사모 전환사채",20736000000,0,6,2027-11-12,72,100,2025-11-13,2026-11-12,51,,2024-11-06,2024-11-13,private
900300,ORGANIC TEA COSMETICS HOLDINGS COMPANY LIMITED,오가닉티코스메틱스홀딩스컴퍼니리미티드,20251017000449,CB,2025-10-17,"해외 기명식 무보증
사모 전환사채",14157000000,0,6,2028-10-26,363,100,2026-10-27,2027-10-26,255,,2025-10-21,2025-10-27,private
900300,ORGANIC TEA COSMETICS HOLDINGS COMPANY LIMITED,오가닉티코스메틱스홀딩스컴퍼니리미티드,20260121000004,CB,2026-01-20,"해외 기명식 무보증
 사모 전환사채",11051250000,0,6,2029-01-29,194,100,2027-01-30,2028-01-29,136,,2026-01-22,2026-01-30,private
053060,SAE DONG CO. LTD,(주)세동,20200226003660,CB,2020-02-26,무기명식 이권부 무보증 사모 전환사채,1000000000,2,5,2025-03-03,808,100,2021-03-03,2025-02-03,,,2020-02-28,2020-03-03,private
053060,SAE DONG CO. LTD,(주)세동,20191018000130,CB,2019-10-18,무기명식 이권부 무보증 사모 전환사채,1800000000,2,5,2022-10-21,778,100,2020-10-21,2022-09-21,,,2019-10-21,2019-10-21,private
006910,"BOSUNG POWER TECHNOLOGY CO., LTD.",보성파워텍(주),20180713000523,CB,2018-07-13,무기명식 이권부 무보증 사모 전환사채,15000000000,0,0,2023-07-17,3270,100,2019-07-17,2023-06-17,,,2018-07-17,2018-07-17,private
053450,"SEKONIX CO., LTD.",(주)세코닉스,20190704000188,CB,2019-07-04,무기명식 이권부 무보증 사모 전환사채,20000000000,0,0,2022-07-08,7645,100,2020-07-08,2022-06-08,,,2019-07-08,2019-07-08,private
117730,"T-Robotics co., Ltd.",(주)티로보틱스,20191226000337,CB,2019-12-26,무기명식 무보증 사모 전환사채,10000000000,0,0,2022-12-27,10572,100,2020-12-27,2022-11-27,,,2019-12-27,2019-12-27,private
117730,"T-Robotics co., Ltd.",(주)티로보틱스,20210610000444,CB,2021-06-10,무기명식 무보증 사모 전환사채,5000000000,0,0,2026-06-18,8842,100,2022-06-18,2026-05-18,6189,,2021-06-10,2021-06-18,private
117730,"T-Robotics co., Ltd.",(주)티로보틱스,20221116000157,CB,2022-11-16,무기명식 이권부 무보증 사모 전환사채,10500000000,0,3,2027-11-18,6263,100,2023-11-18,2027-10-18,4385,,2022-11-18,2022-11-18,private
117730,"T-Robotics co., Ltd.",(주)티로보틱스,20241008000363,CB,2024-10-08,무기명식 무이권부 무보증 사모 전환사채,27600000000,0,0,2029-10-11,8767,100,2025-10-11,2029-09-11,7891,,2024-10-11,2024-10-11,private
117730,"T-Robotics co., Ltd.",(주)티로보틱스,20230621000408,BW,2023-06-21,무기명식 이권부 무보증 사모 신주인수권부사채,40000000000,0,1,2028-06-23,16762,100,2024-06-23,2028-05-23,11734,,2023-06-23,2023-06-23,private
015860,"ILJIN HOLDINGS CO.,LTD",일진홀딩스(주),20250911000378,EB,2025-09-11,무기명식 무보증 사모 교환사채,100000000000,0,0,2030-10-20,42212,100,2025-10-27,2030-09-20,,"not applicable (EB is exchanged for already-issued shares, not newly issued)",2025-09-15,2025-10-20,private
299030,"HANA TECHNOLOGY CO.,LTD.",(주)하나기술,20211022000358,CB,2021-10-22,무기명식 이권부 무보증 사모 전환사채,47000000000,0,0,2026-10-26,56902,100,2022-10-26,2026-09-26,,,2021-10-26,2021-10-26,private
299030,"HANA TECHNOLOGY CO.,LTD.",(주)하나기술,20240426000933,CB,2024-04-26,무기명식 무이권부 무보증 사모 전환사채,60000000000,0,0,2029-04-30,54723,100,2025-04-30,2029-03-30,49251,,2024-04-30,2024-04-30,private
299030,"HANA TECHNOLOGY CO.,LTD.",(주)하나기술,20260213001049,CB,2026-02-13,무기명식 무보증 사모 전환사채,54000000000,0,0,2031-02-23,31402,100,2027-02-23,2031-01-23,25122,,2026-02-23,2026-02-23,private
281740,"Lake Materials Co., Ltd.",(주)레이크머티리얼즈,20260513000690,CB,2026-05-13,무기명식 이권부 무보증 사모 전환사채,50000000000,0,0,2031-05-21,23839,100,2027-05-21,2031-04-21,,,2026-05-21,2026-05-21,private
189300,INTELLIAN TECHNOLOGIES Inc.,(주)인텔리안테크놀로지스,20180725000318,CB,2018-07-25,무기명식 무보증 무담보 사모 전환사채,10000000000,0,0,2023-07-27,13761,100,2019-07-27,2023-06-27,,,2018-07-27,2018-07-27,private
214260,"Raphas Co., Ltd.",(주)라파스,20210819000205,CB,2021-08-19,무기명식 무보증 사모 전환사채,30000000000,0,0,2026-08-23,51079,100,2022-08-23,2026-07-23,40864,,2021-08-23,2021-08-23,private
214260,"Raphas Co., Ltd.",(주)라파스,20230427000516,CB,2023-04-25,무기명식 이권부 무보증 사모 전환사채,20000000000,0,3,2026-04-27,24930,100,2024-04-27,2026-03-27,19944,,2023-04-27,2023-04-27,private
214260,"Raphas Co., Ltd.",(주)라파스,20250205000510,CB,2025-02-05,무기명식 이권부 무보증 사모 전환사채,19000000000,0,3,2028-02-07,14469,100,2026-02-07,2028-01-07,,,2025-02-07,2025-02-07,private
214260,"Raphas Co., Ltd.",(주)라파스,20230825000575,EB,2023-08-25,무기명식 이권부 무보증 사모 교환사채,8000000000,0,2,2026-08-29,31121,100,2023-09-29,2026-07-29,,"not applicable (EB is exchanged for already-issued shares, not newly issued)",2023-08-29,2023-08-29,private
109820,GENEMATRIX INC.,(주)진매트릭스,20181205000209,CB,2018-12-05,무기명식 이권부 무보증 사모 전환사채,4200000000,0.5,3.5,2021-12-06,4460,100,2019-12-06,2021-11-29,,,2018-12-05,2018-12-06,private
109820,GENEMATRIX INC.,(주)진매트릭스,20160803000368,CB,2015-07-24,무기명식 이권부 무보증 사모 전환사채,5000000000,1,3,2020-07-27,3950,100,2016-07-27,2020-07-26,,,2015-07-27,2015-07-27,private
109820,GENEMATRIX INC.,(주)진매트릭스,20180129000314,CB,2018-01-29,무기명식 이권부 무보증 사모 전환사채,6500000000,1,2.5,2021-01-30,4480,100,2019-01-30,2020-12-30,,,2018-01-29,2018-01-30,private
109820,GENEMATRIX INC.,(주)진매트릭스,20180129000315,CB,2018-01-29,무기명식 이권부 무보증 사모 전환사채,3500000000,1,2.5,2021-02-09,4480,100,2019-02-09,2021-01-09,,,2018-01-29,2018-02-09,private
335810,Precision Biosensor Inc.,프리시젼바이오(주),20211122000228,CB,2021-11-16,무기명식 무이권부 무보증사모전환사채,15000000000,0,0,2026-11-18,11400,100,2022-11-18,2026-10-18,9690,,2021-11-18,2021-11-18,private
335810,Precision Biosensor Inc.,프리시젼바이오(주),20231114001731,CB,2023-11-13,무기명식 이권부 무보증 사모 전환사채,12000000000,0,3,2028-11-15,5241,100,2024-11-15,2028-10-15,3669,,2023-11-15,2023-11-15,private
335810,Precision Biosensor Inc.,프리시젼바이오(주),20240206000462,CB,2024-02-06,무기명식 이권부 무보증 사모 전환사채,3000000000,0,3,2029-02-08,5028,100,2025-02-08,2029-01-08,3520,,2024-02-08,2024-02-08,private
241710,"COSMECCA KOREA CO., LTD.",(주)코스메카코리아,20180618000106,CB,2018-06-08,무기명식 무이권부 무보증 사모 전환사채,20000000000,0,0,2023-06-14,40000,100,2019-06-14,2023-05-14,,,2018-06-12,2018-06-14,private
109740,"DSK Co.,Ltd.",(주)디에스케이,20180828000381,CB,2018-07-04,무기명식 이권부 무보증 사모 전환사채,30200000000,0,0,2021-10-31,7180,100,2019-10-31,2021-09-30,,,2018-07-06,2018-10-31,private
109740,"DSK Co.,Ltd.",(주)디에스케이,20171121000330,CB,2017-10-17,무기명식 사모 전환사채,25000000000,0,0,2020-12-05,9990,100,2018-12-05,2020-11-05,,,2017-10-19,2017-12-05,private
109740,"DSK Co.,Ltd.",(주)디에스케이,20160407002242,CB,2016-03-11,무기명식 무보증 사모전환사채,10000000000,1,1,2020-04-08,10780,100,2017-04-08,2020-03-08,,,2016-03-11,2016-04-08,private
109740,"DSK Co.,Ltd.",(주)디에스케이,20160516002429,CB,2016-04-07,무기명식 이권부 무보증 사모 전환사채,7160000000,1,1,2020-05-16,30900,100,2017-05-16,2020-04-16,,,2016-04-07,2016-05-16,private
109740,"DSK Co.,Ltd.",(주)디에스케이,20160429001661,BW,2016-03-11,무기명식 이권부 무보증 비분리형 사모 신주인수권부사채,10000000000,1,1,2020-04-29,10780,100,2017-04-29,2020-03-29,,,2016-03-11,2016-04-29,private
109740,"DSK Co.,Ltd.",(주)디에스케이,20160719000176,BW,2016-07-05,무기명식 이권부 무보증 비분리형 사모 신주인수권부사채,20000000000,1,1,2021-07-20,28750,100,2017-07-20,2021-06-20,,,2016-07-05,2016-07-20,private
066830,GENOTECH CORP.,(주)제노텍,20180425000771,CB,2018-04-24,무기명 무보증 사모 전환사채,1000000000,1,5,2021-04-30,4190,100,2019-04-30,2021-03-30,,,2018-04-30,2018-04-30,private
108490,ROBOTIS,(주)로보티즈,20201215000507,CB,2020-12-15,무기명식 무이권부 무보증 사모 전환사채,11000000000,0,0,2025-12-17,13015,100,2021-12-17,2025-12-09,,,2020-12-17,2020-12-17,private
108490,ROBOTIS,(주)로보티즈,20220623000108,CB,2022-06-17,무기명식 이권부 무보증 사모 전환사채,19000000000,0,0,2027-06-24,24393,100,2023-06-24,2027-05-24,,,2022-06-21,2022-06-24,private
