# Korea Mezzanine Book — SeoulMarkets (https://seoulmarkets.com/data/mezzanine)
# 🔓 THIS IS A FREE SAMPLE: the 100 most recent board-resolution filings.
#   The full book covers 5,084 rows. Same columns, same method.
#   The full file and the query API are the licensed product: https://seoulmarkets.com/data
# built: 2026-09-11
ticker,name_en,name_ko,filing_id,instrument_type,board_resolution_date,instrument_kind_ko,total_face_value_krw,coupon_rate_pct,maturity_rate_pct,maturity_date,strike_price_krw,strike_ratio_pct,strike_window_start,strike_window_end,refix_floor_price_krw,refix_floor_note,subscription_date,payment_date,private_placement
224060,"THE CODI Co., LTD.",(주)더코디,20260909000001,CB,2026-09-08,무기명식 이권부 무보증 사모 전환사채,3000000000,3,4,2029-10-06,4463,100,2027-10-06,2029-09-06,3125,,2026-10-06,2026-10-06,private
224060,"THE CODI Co., LTD.",(주)더코디,20260908000001,CB,2026-09-07,무기명식 이권부 무보증 사모 전환사채,30000000000,3,4,2029-10-06,3550,100,2027-10-06,2029-09-06,,,2026-09-07,2026-10-06,private
229000,Gencurix Inc.,(주)젠큐릭스,20260903000307,CB,2026-09-03,"무기명식
이권부
무보증 사모 전환사채",500000000,2,4,2029-09-11,1919,100,2027-09-11,2029-08-10,1344,,2026-09-04,2026-09-11,private
007460,"Aprogen, Inc",(주)에이프로젠,20260903000285,CB,2026-09-03,무기명이권부무보증사모전환사채,20000000000,0,4,2031-09-11,2396,100,2027-09-12,2031-08-11,1678,,2026-09-03,2026-09-11,private
001360,"SAMSUNG PHARMACEUTICAL.CO.,Ltd.",삼성제약(주),20260902000227,CB,2026-09-02,국내 무기명식 이권부 무보증 사모 전환사채,6000000000,1,6,2029-09-11,1346,100,2027-09-11,2029-08-11,943,,2026-09-02,2026-09-11,private
062970,"KOREA ADVANCED MATERIALS Co.,Ltd.",(주)한국첨단소재,20260902000256,CB,2026-09-02,무기명식이권부 무보증 사모 전환사채,5000000000,2,6,2029-09-10,2366,100,2027-09-10,2029-08-10,1657,,2026-09-10,2026-09-10,private
062970,"KOREA ADVANCED MATERIALS Co.,Ltd.",(주)한국첨단소재,20260902000259,CB,2026-09-02,무기명식이권부 무보증 사모 전환사채,9700000000,2,6,2029-09-10,2366,100,2027-09-10,2029-08-10,1657,,2026-09-10,2026-09-10,private
095190,"SHINHWAPRITECH CO., LTD.",(주)신화프리텍,20260901000319,CB,2026-09-01,무기명식 무이권부 무보증 사모 전환사채,21000000000,0,0,2031-09-09,1869,100,2027-09-09,2031-08-09,,,2026-09-09,2026-09-09,private
043260,SUNGHO ELECTRONICS CORP.,성호전자(주),20260908000103,CB,2026-08-31,무기명식 무보증 사모 전환사채,13000000000,0,0,2029-09-08,17192,100,2027-09-08,2029-08-08,,,2026-09-08,2026-09-08,private
031820,ITCENCTS,(주)아이티센씨티에스,20260831001414,CB,2026-08-31,무기명식 이권부 무보증 사모 전환사채,5000000000,0,2,2028-09-16,6109,100,2027-09-16,2028-08-16,5000,,2026-08-31,2026-09-16,private
003620,KG Mobility Corp.,케이지모빌리티(주),20260827000861,CB,2026-08-27,무기명식 무이권부 무보증 사모 전환사채,154500000000,0,3,2031-09-11,2713,100,2027-09-11,2031-08-11,1900,,2026-09-11,2026-09-11,private
413630,"CP SYSTEM CO.,LTD",씨피시스템(주),20260826000286,CB,2026-08-26,무기명식 무이권부 무보증 사모 전환사채,10000000000,0,0,2031-09-03,5106,100,2027-09-03,2031-08-03,,,,2026-09-03,private
046120,"Orbitech Co., Ltd.",(주)오르비텍,20260827000953,CB,2026-08-24,무기명식 이권부 무보증 사모 전환사채,5000000000,2,5,2029-09-01,4514,100,2027-09-01,2029-08-01,3160,,2026-08-28,2026-09-01,private
178320,"SEOJIN SYSTEM CO.,LTD",(주)서진시스템,20260901000180,CB,2026-08-24,무기명식 이권부 무보증 사모 영구 전환사채,37500000000,2,5,2056-09-01,33255,100,2027-09-01,2056-08-01,,,2026-08-27,2026-09-01,private
