gap,what_is_missing,can_it_ever_be_filled,note
"Hours watched, by country",Netflix publishes viewing hours for its global list only. Country lists carry rank and nothing else.,no,No source we can reach carries it.
What sits below each weekly top 10,"Unpublished, so we cannot even count what is missing.",no,Netflix would have to publish it.
Cast completeness,Wikidata cast lists are short and skew to well-known names.,partly,Improves as Wikidata is edited. Every network figure we publish is a floor.
Acts with no English Wikipedia article,They produce no row in our attention panel.,partly,Improves as articles are written. We counted the size of the hole.
Export figures for 2025 and 2026,The survey runs about eighteen months behind.,later,"Arrives on the survey schedule, not ours."
Not measured: Musical groups,1311 of 2133 have no English article (61.5%).,partly,Counted from Wikidata. Improves as articles are written.
Not measured: Singers,3990 of 5415 have no English article (73.7%).,partly,Counted from Wikidata. Improves as articles are written.
Not measured: Rappers,111 of 362 have no English article (30.7%).,partly,Counted from Wikidata. Improves as articles are written.
Not measured: Composers,147 of 242 have no English article (60.7%).,partly,Counted from Wikidata. Improves as articles are written.
Not measured: Musicians,42 of 316 have no English article (13.3%).,partly,Counted from Wikidata. Improves as articles are written.
