name,slug,wikipedia_page,born,charting_titles,chart_places,countries
Lee You-mi,lee-you-mi,Lee Yoo-mi,1994-07-18,6,4347,93
Park Hae-soo,park-hae-soo,Park Hae-soo,1981-11-21,10,4226,93
Kim Young-ok,kim-young-ok,Kim Young-ok,1938-01-06,5,4005,93
Wi Ha-jun,wi-ha-jun,Wi Ha-joon,,4,3777,93
Gong Yoo,gong-yoo,Gong Yoo,1979-07-10,7,3507,93
Lee Byung-hun,lee-byung-hun,Lee Byung-hun,1970-07-12,13,3477,93
Kang Mal-Geum,kang-mal-geum,Kang Mal-geum,,5,3402,93
Heo Sung-tae,heo-sung-tae,Heo Sung-tae,1977-10-20,8,3384,93
Lee Jung-jae,lee-jung-jae,Lee Jung-jae,1972-12-15,9,3257,93
You Seong-joo,you-seong-joo,You Seong-joo,1973-11-12,3,3248,93
Heo Dong-won,heo-dong-won,Heo Dong-won,1980-06-09,4,3242,93
Kim Joo-ryoung,kim-joo-ryoung,Kim Joo-ryoung,1976-07-15,3,3232,93
Jung Ho-yeon,jung-ho-yeon,Jung Ho-yeon,1994-06-23,2,3230,93
Jeon Bae-soo,jeon-bae-soo,Jeon Bae-soo,,3,1580,93
Lee Sang-yi,lee-sang-yi,Lee Sang-yi (actor),1991-11-27,3,1460,87
Yeom Hye-ran,yeom-hye-ran,Yeom Hye-ran,,11,1341,93
Yoo In-soo,yoo-in-soo,Yoo In-soo,1998-03-25,2,1242,93
Lim Ji-yeon,lim-ji-yeon,Lim Ji-yeon,,8,1217,91
Choi Dae-hoon,choi-dae-hoon,Choi Dae-hoon,1980-11-16,4,1211,82
Yoo Yeon-seok,yoo-yeon-seok,Yoo Yeon-seok,1984-04-11,10,1206,84
Go Youn-jung,go-youn-jung,Go Youn-jung,1996-04-22,7,1192,65
Kim Hae-suk,kim-hae-suk,Kim Hae-sook,1955-12-30,12,1170,78
Lee Chae-min,lee-chae-min,Lee Chae-min,2000-09-15,4,1125,84
Park Sung-hoon,park-sung-hoon,Park Sung-hoon,,4,1096,91
Joo Sang-wook,joo-sang-wook,Joo Sang-wook,1978-07-18,3,1090,81
Park Eun-bin,park-eun-bin,Park Eun-bin,1992-09-04,5,1060,61
Lee Do-hyun,lee-do-hyun,Lee Do-hyun,,5,1059,91
Yu Jun-sang,yu-jun-sang,Yoo Jun-sang,1969-11-28,4,1051,91
Jung So-min,jung-so-min,Jung So-min,1989-03-16,3,1001,56
Jin Kyeong,jin-kyeong,Jin Kyung,1972-03-27,8,994,86
