title,slug,kind,countries,chart_places,weeks,peak_rank,first_week,last_week,has_page
(Girl)Friend,girl-friend,Films,5,8,2,2,2023-08-13,2023-08-20,no
12.12: The Day,12-12-the-day,Films,1,12,12,1,2024-05-12,2024-12-22,yes
18 Again,18-again,TV,3,7,7,4,2022-01-30,2023-04-09,yes
1987: When the Day Comes,1987-when-the-day-comes,Films,1,1,1,9,2023-12-10,2023-12-10,yes
200 Pounds Beauty,200-pounds-beauty,Films,2,2,2,4,2021-11-21,2024-03-31,no
20th Century Girl,20th-century-girl,Films,46,114,6,1,2022-10-23,2022-11-27,yes
6/45,6-45,Films,2,7,7,1,2023-08-06,2025-07-13,yes
8MM,8mm,Films,11,14,8,4,2021-09-05,2025-06-08,yes
A Business Proposal,a-business-proposal,Films,2,6,4,1,2025-06-15,2025-07-06,no
A Company Man,a-company-man,Films,1,4,4,4,2025-06-15,2026-07-12,yes
A Confession,a-confession,TV,2,6,4,3,2024-10-06,2024-10-27,no
A Family,a-family,Films,2,4,4,3,2021-07-11,2022-10-23,no
A Girl at My Door,a-girl-at-my-door,Films,1,1,1,5,2025-10-05,2025-10-05,no
A Good Day to Be a Dog,a-good-day-to-be-a-dog,TV,1,6,6,3,2023-10-15,2023-11-26,yes
A Hard Day,a-hard-day,Films,2,3,3,2,2022-05-01,2023-04-30,yes
A Journey,a-journey,Films,18,24,4,1,2024-04-14,2024-05-05,yes
A Killer Paradox,a-killer-paradox,TV,44,97,10,1,2024-02-11,2024-04-14,yes
A Korean Odyssey,a-korean-odyssey,TV,2,8,7,2,2021-07-04,2023-04-23,yes
A Man of Reason,a-man-of-reason,Films,1,3,3,1,2024-05-05,2024-05-19,yes
A Model Family,a-model-family,TV,20,27,4,2,2022-08-14,2022-09-04,yes
A Normal Family,a-normal-family,Films,1,2,2,10,2025-12-14,2025-12-21,yes
A Special Lady,a-special-lady,Films,1,2,2,7,2022-10-16,2022-10-23,no
A Time Called You,a-time-called-you,TV,38,76,5,1,2023-09-10,2023-10-08,yes
A Violent Prosecutor,a-violent-prosecutor,Films,1,1,1,7,2021-09-19,2021-09-19,no
A Virtuous Business,a-virtuous-business,TV,17,73,11,1,2024-10-13,2024-12-22,yes
A Wedding Invitation,a-wedding-invitation,Films,1,2,2,5,2025-02-09,2025-02-16,no
A Werewolf Boy,a-werewolf-boy,Films,3,3,1,4,2021-09-05,2021-09-05,yes
A Woman's Life,a-woman-s-life,Films,1,3,3,5,2023-01-15,2023-01-29,no
A Wonderful World,a-wonderful-world,Films,1,2,2,1,2025-02-16,2025-02-23,no
A Year-End Medley,a-year-end-medley,TV,1,1,1,8,2024-06-16,2024-06-16,no
About Family,about-family,Films,1,9,9,1,2025-04-13,2025-06-08,no
Abyss,abyss,TV,1,3,3,8,2022-03-20,2022-04-03,yes
Addicted,addicted,Films,19,34,12,2,2021-12-05,2023-07-30,yes
Aema,aema,TV,5,9,5,2,2025-08-24,2025-09-21,yes
Agency,agency,TV,11,29,9,2,2023-03-26,2023-07-02,yes
Agent Kim Reactivated,agent-kim-reactivated,TV,81,466,8,1,2026-06-28,2026-08-16,yes
Agents of Mystery,agents-of-mystery,TV,4,11,7,2,2024-06-23,2026-03-15,yes
Alchemy of Souls,alchemy-of-souls,TV,45,623,45,1,2022-06-26,2023-04-30,yes
Alice,alice,Films,12,24,9,1,2023-08-27,2025-10-05,yes
Alienoid: Return to the Future,alienoid-return-to-the-future,Films,1,3,3,2,2025-01-12,2025-01-26,no
Alive,alive,Films,6,6,3,5,2022-03-06,2025-01-26,yes
All For Love,all-for-love,TV,2,8,8,7,2021-07-18,2022-01-23,no
All In,all-in,Films,3,4,2,5,2024-06-09,2024-06-16,yes
All of Us Are Dead,all-of-us-are-dead,TV,93,619,34,1,2022-01-30,2025-01-05,yes
Aloners,aloners,Films,1,3,3,3,2021-08-22,2021-09-05,yes
Along with the Gods: The Last 49 Days,along-with-the-gods-the-last-49-days,Films,3,3,3,8,2022-01-02,2022-08-14,no
Along with the Gods: The Two Worlds,along-with-the-gods-the-two-worlds,Films,2,3,3,5,2021-12-26,2022-08-14,yes
Amazon Bullseye,amazon-bullseye,Films,1,6,6,1,2025-01-26,2025-03-02,yes
Anarchist from Colony,anarchist-from-colony,Films,1,1,1,6,2022-03-20,2022-03-20,no
Anchor,anchor,Films,1,1,1,9,2023-04-02,2023-04-02,yes
Angel Eyes,angel-eyes,Films,28,40,15,3,2021-11-07,2026-07-12,yes
Another Miss Oh,another-miss-oh,TV,1,1,1,8,2022-11-27,2022-11-27,no
Arthdal Chronicles,arthdal-chronicles,TV,1,1,1,7,2022-05-01,2022-05-01,yes
Artificial City,artificial-city,TV,1,2,2,6,2022-02-20,2022-02-27,no
As You Stood By,as-you-stood-by,TV,71,156,5,1,2025-11-09,2025-12-07,yes
Ashfall,ashfall,Films,8,11,6,3,2021-12-19,2023-01-08,yes
Asura,asura,TV,1,2,2,4,2025-01-12,2025-01-19,no
Asura: The City of Madness,asura-the-city-of-madness,Films,1,5,5,3,2021-09-26,2021-10-24,no
Awake,awake,Films,38,79,9,1,2023-09-03,2026-03-29,yes
Awaken,awaken,TV,3,10,4,1,2023-01-22,2023-02-12,yes
B Cut,b-cut,Films,1,2,2,4,2023-06-04,2023-06-11,no
Babel,babel,Films,9,13,4,3,2023-03-05,2023-08-13,yes
Backstreet Rookie,backstreet-rookie,TV,16,35,5,4,2022-07-24,2025-04-06,yes
Bad And Crazy,bad-and-crazy,TV,6,19,5,3,2022-04-03,2022-05-01,yes
Bad Guys,bad-guys,TV,1,7,7,1,2022-09-11,2022-10-23,yes
Bad Memory Eraser,bad-memory-eraser,TV,1,3,3,4,2024-08-04,2024-08-18,yes
Badland Hunters,badland-hunters,Films,89,226,10,1,2024-01-28,2024-06-02,yes
Bait,bait,Films,2,2,2,6,2023-05-07,2025-02-02,no
Ballerina,ballerina,Films,89,241,18,1,2021-10-24,2026-07-05,yes
Band of Brothers,band-of-brothers,TV,21,38,4,3,2023-09-17,2023-10-08,yes
Barbie,barbie,Films,37,50,19,1,2024-05-05,2026-07-26,yes
Battle for Happiness,battle-for-happiness,TV,1,2,2,8,2023-09-03,2023-09-10,no
Beastie Boys,beastie-boys,Films,1,2,2,5,2021-11-21,2021-11-28,no
Beasts Clawing at Straws,beasts-clawing-at-straws,Films,1,2,2,5,2026-01-04,2026-01-11,yes
Beautiful Gong Shim,beautiful-gong-shim,TV,1,3,3,7,2022-01-16,2022-01-30,yes
Beauty and Mr. Romantic,beauty-and-mr-romantic,TV,1,4,4,7,2024-03-31,2024-04-21,no
Beauty and the Beast,beauty-and-the-beast,Films,13,13,2,2,2021-10-03,2021-10-17,yes
Beauty Inside,beauty-inside,TV,3,9,8,2,2021-11-28,2022-11-27,no
Because I Hate Korea,because-i-hate-korea,Films,1,2,2,3,2024-12-01,2024-12-08,no
Begin Again,begin-again,Films,1,1,1,10,2026-05-17,2026-05-17,no
Behind Every Star,behind-every-star,TV,1,6,6,2,2022-11-13,2022-12-18,yes
Behind Your Touch,behind-your-touch,TV,27,96,9,2,2023-08-13,2023-10-08,yes
Believer,believer,Films,8,17,7,3,2023-03-26,2023-12-03,yes
Believer 2,believer-2,Films,37,68,6,1,2023-11-19,2023-12-24,yes
Betrayal,betrayal,Films,1,1,1,4,2023-09-24,2023-09-24,no
Between Him and Her,between-him-and-her,TV,1,1,1,10,2023-12-31,2023-12-31,no
Between Walls,between-walls,Films,1,2,2,4,2024-12-22,2024-12-29,no
Beyond Evil,beyond-evil,TV,1,4,4,4,2023-04-09,2023-04-30,yes
Beyond the Bar,beyond-the-bar,TV,53,281,9,1,2025-08-03,2025-09-28,yes
Big,big,Films,12,12,2,4,2025-12-14,2025-12-28,yes
Birth of a Beauty,birth-of-a-beauty,TV,3,6,6,7,2021-07-18,2025-06-22,no
Birthcare Center,birthcare-center,TV,4,8,3,4,2022-12-04,2022-12-18,no
Bitch and Rich,bitch-and-rich,TV,13,47,16,2,2023-06-11,2026-08-16,yes
Black Dog,black-dog,TV,2,4,3,4,2022-04-10,2022-04-24,yes
Black Knight,black-knight,TV,79,197,8,1,2021-08-01,2024-09-29,yes
Black Money,black-money,Films,1,4,4,3,2022-01-16,2026-04-12,no
Black Night,black-night,Films,1,2,2,1,2023-10-22,2023-10-29,no
Black Out,black-out,TV,4,7,4,5,2025-05-25,2025-08-24,yes
Black Rain,black-rain,Films,2,2,1,7,2026-02-08,2026-02-08,no
Blade of the Immortal,blade-of-the-immortal,Films,2,4,4,3,2023-08-20,2026-08-09,yes
Blind,blind,Films,1,2,2,6,2026-05-03,2026-05-10,no
Blood,blood,Films,5,6,3,3,2023-09-24,2025-10-26,yes
Bloodhounds,bloodhounds,TV,87,583,17,1,2023-06-11,2026-05-31,yes
Blossom,blossom,TV,2,5,4,3,2025-01-05,2025-01-26,no
Bodyguard,bodyguard,TV,12,15,4,4,2023-04-09,2023-10-01,yes
Bogotá: City of the Lost,bogota-city-of-the-lost,Films,73,98,4,1,2025-02-09,2025-03-02,yes
"Bon Appétit, Your Majesty",bon-appetit-your-majesty,TV,79,502,12,1,2025-08-24,2025-11-09,yes
Boomerang Family,boomerang-family,Films,1,5,5,2,2023-02-19,2023-09-17,yes
Boy,boy,Films,1,1,1,1,2021-07-18,2021-07-18,no
Boyfriend on Demand,boyfriend-on-demand,TV,47,137,5,2,2026-03-08,2026-04-05,yes
Boys Over Flowers,boys-over-flowers,TV,7,76,49,1,2022-06-19,2023-06-04,yes
Brewing Love,brewing-love,TV,1,5,5,4,2024-11-10,2024-12-08,yes
Broker,broker,Films,1,5,5,6,2023-01-01,2023-01-29,yes
Bros,bros,TV,2,7,6,1,2024-04-21,2024-05-26,no
Brother,brother,Films,6,6,2,4,2022-08-07,2023-10-08,yes
Bugonia,bugonia,Films,2,2,2,7,2026-02-01,2026-05-03,yes
Bulgasal: Immortal Souls,bulgasal-immortal-souls,TV,12,64,9,2,2021-12-26,2022-02-20,yes
Business Proposal,business-proposal,TV,58,464,44,1,2022-03-06,2025-07-06,yes
Butterfly,butterfly,TV,2,3,2,4,2024-09-22,2024-09-29,no
By Quantum Physics: A Nightlife Venture,by-quantum-physics-a-nightlife-venture,Films,2,4,4,3,2021-12-19,2024-06-09,yes
Cabriolet,cabriolet,Films,1,2,2,4,2025-02-16,2025-02-23,no
Café Minamdang,cafe-minamdang,TV,10,71,12,3,2022-07-03,2022-09-18,yes
Camping,camping,Films,1,2,2,8,2025-07-20,2025-07-27,no
Can This Love Be Translated?,can-this-love-be-translated,TV,60,213,21,1,2026-01-18,2026-08-16,yes
Canola,canola,Films,2,3,3,7,2025-12-07,2025-12-21,yes
Captivating the King,captivating-the-king,TV,21,57,7,2,2024-01-28,2024-03-10,yes
Carter,carter,Films,92,201,5,1,2022-08-07,2022-09-04,yes
Cashero,cashero,TV,52,124,5,1,2025-12-28,2026-01-25,yes
Casino,casino,Films,1,1,1,10,2022-09-18,2022-09-18,no
Cassiopeia,cassiopeia,Films,1,2,2,6,2023-12-17,2023-12-24,no
Castaway Diva,castaway-diva,TV,31,118,7,1,2023-10-29,2023-12-10,yes
CAT,cat,TV,11,27,7,2,2022-12-11,2023-08-06,yes
Celeb Five: Behind the Curtain,celeb-five-behind-the-curtain,Films,1,2,2,3,2022-04-03,2022-04-10,no
Celebrity,celebrity,TV,52,145,8,1,2023-07-02,2023-08-27,yes
Chabak - Night of Murder and Romance,chabak-night-of-murder-and-romance,Films,1,3,3,1,2024-02-11,2024-02-25,no
Champion,champion,TV,15,42,7,1,2024-01-14,2026-02-08,yes
Character,character,Films,1,4,4,3,2023-07-30,2023-08-20,no
Check in Hanyang,check-in-hanyang,TV,9,17,4,6,2024-12-29,2025-01-19,yes
Chef & My Fridge,chef-my-fridge,TV,2,11,9,2,2024-12-22,2026-02-22,no
Chicken Nugget,chicken-nugget,TV,8,19,6,2,2024-03-17,2024-04-21,yes
Chocolate,chocolate,TV,1,3,3,4,2023-03-05,2023-03-19,no
Christmas Carol,christmas-carol,Films,2,5,5,3,2023-04-16,2026-08-16,yes
Citizen of a Kind,citizen-of-a-kind,Films,1,9,9,1,2024-05-26,2024-07-21,yes
City Hunter,city-hunter,Films,52,96,8,1,2024-04-28,2025-09-14,yes
City of Fathers,city-of-fathers,Films,1,1,1,4,2024-09-29,2024-09-29,no
Clean With Passion For Now,clean-with-passion-for-now,TV,1,1,1,8,2022-12-11,2022-12-11,no
Cleaning Up,cleaning-up,TV,6,20,11,1,2022-08-07,2024-05-05,yes
Cloud,cloud,Films,1,3,3,5,2025-12-28,2026-01-11,no
Cobweb,cobweb,Films,7,8,7,2,2023-12-31,2025-11-30,yes
Coin Locker Girl,coin-locker-girl,Films,1,2,2,6,2022-03-27,2022-04-03,no
Collectors,collectors,Films,3,4,3,1,2021-10-17,2021-12-12,yes
Come Back Home,come-back-home,Films,1,1,1,5,2023-07-30,2023-07-30,no
Commitment,commitment,Films,2,3,2,6,2021-08-22,2021-08-29,yes
Concerning My Daughter,concerning-my-daughter,Films,1,2,2,5,2025-03-16,2025-03-23,no
Concrete Market,concrete-market,Films,1,2,2,2,2026-03-08,2026-03-15,no
Concrete Utopia,concrete-utopia,Films,2,9,9,1,2023-12-10,2024-04-07,yes
Confession,confession,Films,2,6,6,1,2023-02-12,2024-10-13,yes
Confidential Assignment 2: International,confidential-assignment-2-international,Films,3,11,11,1,2023-01-08,2026-05-31,yes
Connection,connection,TV,4,10,3,3,2025-03-09,2025-03-23,yes
Contact,contact,Films,2,3,2,5,2022-12-11,2022-12-18,no
Contorted,contorted,Films,1,2,2,8,2022-09-11,2022-09-18,no
Count,count,Films,1,5,5,1,2023-06-11,2023-07-09,no
Countdown,countdown,Films,4,6,5,3,2022-02-06,2023-07-23,yes
