ticker,name_en,name_ko,filing_id,filed_on,person_name,is_registered_officer,title,relationship,shares_held,shares_change,stake_pct,stake_change_pct
900290,Great Rich Technologies Limited,그레이트리치과기유한공사,20241211000450,2024-12-11,Zhou YongNan,registered,대표이사,10%이상주주,31351311,5225218,38.78,0
900290,Great Rich Technologies Limited,그레이트리치과기유한공사,20241211000457,2024-12-11,신루이샹홀딩리미티드,,-,10%이상주주,9718335,1619722,12.02,0
900290,Great Rich Technologies Limited,그레이트리치과기유한공사,20241213000575,2024-12-13,CDIBCAPITALASIAPARTNERSL.P.,,-,10%이상주주,9837000,1639500,12.17,0
900290,Great Rich Technologies Limited,그레이트리치과기유한공사,20251114002288,2025-11-14,신루이샹홀딩리미티드,,-,10%이상주주,10864401,1146066,13.01,0.99
900290,Great Rich Technologies Limited,그레이트리치과기유한공사,20260429001096,2026-04-29,신루이샹홀딩리미티드,,-,10%이상주주,6464401,-4400000,7.74,-5.27
900260,"ROTHWELL INTERNATIONAL CO., LIMITED",로스웰인터내셔널유한회사,20260115000249,2026-01-15,트릴리온럭그룹리미티드,,최대주주,10%이상주주,17010958,17010958,36.96,36.96
900260,"ROTHWELL INTERNATIONAL CO., LIMITED",로스웰인터내셔널유한회사,20260213001939,2026-02-13,트릴리온럭그룹리미티드,,최대주주,10%이상주주,18030969,1020011,39.17,2.21
900250,"China Crystal New Material Holdings Co.,  Ltd.",차이나크리스탈신소재홀딩스,20260609000472,2026-06-09,DAI ZHONGQIU,registered,대표이사,10%이상주주,6080693,-18242080,16.98,-1.64
105840,WOOJIN INC,(주)우진,20251216000363,2025-12-16,이재원,registered,이사회 의장,-,3228711,13642,15.99,0.07
105840,WOOJIN INC,(주)우진,20251216000377,2025-12-16,이재상,registered,대표이사,-,1958581,11092,9.7,0.06
105840,WOOJIN INC,(주)우진,20251216000391,2025-12-16,백승한,registered,대표이사,-,34898,21527,0.17,0.02
105840,WOOJIN INC,(주)우진,20251216000398,2025-12-16,조재성,registered,상무이사,-,4679,4679,0.02,0.02
105840,WOOJIN INC,(주)우진,20260107000599,2026-01-07,이재원,registered,이사회 의장,-,3028711,-200000,15,-0.99
105840,WOOJIN INC,(주)우진,20260107000606,2026-01-07,이재상,registered,대표이사,-,1758581,-200000,8.71,-0.99
105840,WOOJIN INC,(주)우진,20260527000490,2026-05-27,조재성,registered,상무이사,-,5000,321,0.02,0
049800,"WOOJIN PLAIMM CO.,LTD",(주)우진플라임,20241115000290,2024-11-15,임동규,registered,부사장,-,184000,24000,0.92,0.12
049800,"WOOJIN PLAIMM CO.,LTD",(주)우진플라임,20260209000724,2026-02-10,임동규,registered,부사장,-,230000,46000,1.15,0.23
049800,"WOOJIN PLAIMM CO.,LTD",(주)우진플라임,20260209000729,2026-02-10,김익환,registered,대표이사,10%이상주주,4852286,-198000,24.26,-0.99
049800,"WOOJIN PLAIMM CO.,LTD",(주)우진플라임,20260316000526,2026-03-16,김익환,registered,대표이사,10%이상주주,4450286,-402000,22.25,-2.01
049800,"WOOJIN PLAIMM CO.,LTD",(주)우진플라임,20260731000232,2026-07-31,임동규,registered,부사장,-,244927,14927,1.22,0.07
049800,"WOOJIN PLAIMM CO.,LTD",(주)우진플라임,20260818000166,2026-08-18,임동규,registered,부사장,-,133827,-111100,0.67,-0.55
049800,"WOOJIN PLAIMM CO.,LTD",(주)우진플라임,20260827000617,2026-08-27,임동규,registered,부사장,-,145000,11173,0.72,0.05
900310,"Coloray International Investment Co., Limited",컬러레이홀딩스,20250123000192,2025-01-23,Zhuo Zhongbiao,registered,대표이사,10%이상주주,24678035,1500000,38.53,2.34
900310,"Coloray International Investment Co., Limited",컬러레이홀딩스,20250211000778,2025-02-11,Zhuo Zhongbiao,registered,대표이사,10%이상주주,26178035,1500000,40.87,2.34
