ticker,name_en,name_ko,filing_id,filed_on,filing_kind,holder_name,shares_held,shares_change,stake_pct,stake_change_pct,related_party_shares,related_party_pct,reason_raw_ko
900290,Great Rich Technologies Limited,그레이트리치과기유한공사,20250416000481,2025-04-16,general,Zhou YongNan,0,-35991038,0,-53.42,0,0,"- 대표 보고자 변경에 따른 변동보고
- 공동보유계약 해제"
900290,Great Rich Technologies Limited,그레이트리치과기유한공사,20250416000505,2025-04-16,general,신루이샹홀딩리미티드,41069646,41069646,50.8,50.8,31351311,38.78,공동보유약정 체결로 인한 대표보고자 변경에 대한 신규보고
900290,Great Rich Technologies Limited,그레이트리치과기유한공사,20251114002242,2025-11-14,general,신루이샹홀딩리미티드,42595712,1526066,51.01,0.21,31351311,38.78,제3자배정 유상증자 납입에 따른 신주취득 및 특별관계자 추가
900290,Great Rich Technologies Limited,그레이트리치과기유한공사,20260429001084,2026-04-29,general,신루이샹홀딩리미티드,38195712,-4400000,45.74,-5.27,31351311,38.78,시간외 매매에 따른 지분변동(블록딜)
900290,Great Rich Technologies Limited,그레이트리치과기유한공사,20260612000684,2026-06-12,general,신루이샹홀딩리미티드,36695712,-1500000,43.94,-1.8,31351311,38.78,보유주식수 감소에 따른 변동
900290,Great Rich Technologies Limited,그레이트리치과기유한공사,20260707000312,2026-07-07,general,신루이샹홀딩리미티드,0,-36695712,0,-43.94,,,특별관계 해소에 따른 대표보고자 변경
900290,Great Rich Technologies Limited,그레이트리치과기유한공사,20260707000325,2026-07-07,general,Zhou YongNan,31731311,31731311,38,38,,,대표보고자 변경에 따른 신규보고
900260,"ROTHWELL INTERNATIONAL CO., LIMITED",로스웰인터내셔널유한회사,20260115000268,2026-01-15,general,트릴리온럭그룹리미티드,28894795,28894795,62.77,62.77,,,- 공개매수에 따른 신규보고
900260,"ROTHWELL INTERNATIONAL CO., LIMITED",로스웰인터내셔널유한회사,20260213001959,2026-02-13,general,트릴리온럭그룹리미티드,29914806,1020011,64.99,2.22,,,- 공개매수에 따른 변동보고
088980,Macquarie Korea Infrastructure Fund,맥쿼리한국인프라투융자회사,20241202000268,2024-12-02,abbreviated,미래에셋자산운용,23934399,1525104,5,-0.14,,,지분율 변동
088980,Macquarie Korea Infrastructure Fund,맥쿼리한국인프라투융자회사,20250729000313,2025-07-29,abbreviated,미래에셋자산운용,24000694,113595,5.01,0.02,,,신규
088980,Macquarie Korea Infrastructure Fund,맥쿼리한국인프라투융자회사,20251010000294,2025-10-10,abbreviated,미래에셋자산운용,29173649,5172955,6.09,1.08,,,지분율 변동
088980,Macquarie Korea Infrastructure Fund,맥쿼리한국인프라투융자회사,20260202001076,2026-02-02,abbreviated,미래에셋자산운용,35193787,6020138,7.35,1.26,,,지분율 변동
088980,Macquarie Korea Infrastructure Fund,맥쿼리한국인프라투융자회사,20260402003338,2026-04-02,abbreviated,미래에셋자산운용,40302193,5108406,8.42,1.07,,,지분율 변동
900250,"China Crystal New Material Holdings Co.,  Ltd.",차이나크리스탈신소재홀딩스,20251219000533,2025-12-19,general,DAI ZHONGQIU,28739773,4417000,20.06,1.44,,,제3자배정 유상증자 납이에 따른 특별관계자 추가
