ticker,name_en,name_ko,market,sector_ko,fiscal_year,headcount,men,women,women_share,tenure_years,tenure_years_men,tenure_years_women,tenure_ratio_women_to_men,annual_pay_per_person_krw_men,annual_pay_per_person_krw_women,pay_ratio_women_to_men,pay_ratio_withheld_reason,close_price_krw,market_cap_krw,listed_shares,price_as_of
005930,"SAMSUNG ELECTRONICS CO,.LTD",삼성전자,KOSPI,전자부품·컴퓨터·통신장비,2025,128881,94273,34608,0.269,13.73,14,13,0.929,167000000,130000000,0.778,,269500,1575572084856000,5846278608,20260909
005380,HYUNDAI MOTOR CO,현대자동차,KOSPI,자동차·트레일러,2025,72598,66681,5917,0.082,15.8,16.2,11.3,0.698,132000000,118000000,0.894,,388000,79446013208000,204757766,20260909
000270,KIA CORPORATION,기아,KOSPI,자동차·트레일러,2025,36566,34664,1902,0.052,20.76,21.1,14.5,0.687,135000000,116000000,0.859,,126800,49504368146400,390412998,20260909
000660,SK hynix Inc.,SK하이닉스,KOSPI,전자부품·컴퓨터·통신장비,2025,34549,23037,11512,0.333,13.43,12.3,15.7,1.276,198000000,159000000,0.803,,1856000,1355793829440000,730492365,20260909
066570,LG ELECTRONICS INC.,LG전자,KOSPI,전자부품·컴퓨터·통신장비,2025,34144,28568,5576,0.163,13.76,14.2,11.5,0.81,122000000,95000000,0.779,,204500,33309908471000,162884638,20260909
034220,"LG Display Co., Ltd.",LG디스플레이,KOSPI,전자부품·컴퓨터·통신장비,2025,24430,20948,3482,0.143,14.93,15.3,12.7,0.83,89000000,67000000,0.753,,8950,4475000000000,500000000,20260909
139480,E-MART Inc.,이마트,KOSPI,소매업,2025,23075,9794,13281,0.576,13.95,15.1,13.1,0.868,69000000,39000000,0.565,,75000,2069686425000,27595819,20260909
015760,KOREA ELECTRIC POWER CORPORATION,한국전력공사,KOSPI,전기·가스·증기,2025,22875,17478,5397,0.236,14.98,15.1,14.6,0.967,97705000,84248000,0.862,,33750,21666287598750,641964077,20260909
329180,"HD HYUNDAI HEAVY INDUSTRIES CO.,LTD.",HD현대중공업,KOSPI,기타 운송장비,2025,18880,17909,971,0.051,3.98,4.02,3.28,0.816,,,,not reported,463500,48649527787500,104961225,20260909
003490,"KOREAN AIR LINES CO.,LTD",대한항공,KOSPI,항공운송,2025,18318,10371,7947,0.434,18.36,18.8,17.79,0.946,143547681.03,96911538.95,0.675,,29800,10972975697800,368220661,20260909
023530,"LOTTE SHOPPING CO.,LTD.",롯데쇼핑,KOSPI,소매업,2025,17712,6010,11702,0.661,12.55,14.83,11.38,0.767,74738034.94,43258099.04,0.579,,110900,3137222929500,28288755,20260909
060000,KOOKMIN BANK,국민은행,,금융업,2025,15389,6458,8931,0.58,17.26,17.17,17.33,1.009,139000000,112000000,0.806,,,,,
030200,KT CORPORATION,케이티,KOSPI,통신업,2025,14701,10860,3841,0.261,19.27,19.9,17.5,0.879,122000000,109000000,0.893,,53100,13382351473500,252021685,20260909
000030,Woori Bank,우리은행,,금융업,2025,14203,6282,7921,0.558,16.34,14.5,17.8,1.228,134000000,112000000,0.836,,,,,
024110,INDUSTRIAL BANK OF KOREA,기업은행,KOSPI,금융업,2025,13507,5571,7936,0.588,15.51,16,15.17,0.948,111000000,82000000,0.739,,20600,16426972901400,797425869,20260909
373220,"LG ENERGY SOLUTION, LTD.",LG에너지솔루션,KOSPI,전기장비,2025,12922,10507,2415,0.187,8.16,8.58,6.33,0.738,119000000,80000000,0.672,,371000,86814000000000,234000000,20260909
051910,LG CHEM LTD,LG화학,KOSPI,화학물질·화학제품,2025,12869,10734,2135,0.166,14.01,14.7,10.55,0.718,111191727.22,86066978.92,0.774,,285000,20118817755000,70592343,20260909
006400,"SAMSUNG SDI CO.,LTD",삼성SDI,KOSPI,전기장비,2025,12826,10297,2529,0.197,12.59,13.46,9.04,0.672,98844323.59,79249110.32,0.802,,574000,46256094220000,80585530,20260909
000010,SHINHAN BANK,신한은행,,금융업,2025,12781,6522,6259,0.49,15.44,16.75,14.08,0.841,144000000,101000000,0.701,,,,,
012330,"HYUNDAI MOBIS CO.,LTD",현대모비스,KOSPI,자동차·트레일러,2025,12535,10783,1752,0.14,13.11,13.57,10.25,0.755,141899378.65,106524543.38,0.751,,417500,37500094237500,89820585,20260909
011070,"LG INNOTEK CO., LTD.",LG이노텍,KOSPI,전자부품·컴퓨터·통신장비,2025,12211,10138,2073,0.17,9.42,9.55,8.76,0.917,96289998.03,74718282.68,0.776,,553000,13087910171000,23667107,20260909
009150,"SAMSUNG ELECTRO-MECHANICS CO.,LTD",삼성전기,KOSPI,전자부품·컴퓨터·통신장비,2025,12173,9278,2895,0.238,15.76,16,15,0.938,115000000,92000000,0.8,,1404000,104869949184000,74693696,20260909
004940,KEB Hana Bank,하나은행,,금융업,2025,11837,4242,7595,0.642,15.61,15.1,15.9,1.053,141000000,114000000,0.809,,,,,
004020,HYUNDAI STEEL COMPANY,현대제철,KOSPI,1차 금속,2025,11694,11117,577,0.049,14.03,14.33,8.33,0.581,115000000,72000000,0.626,,33650,4490450665250,133445785,20260909
018260,"SAMSUNG SDS CO., LTD.",삼성에스디에스,KOSPI,컴퓨터 프로그래밍·SI,2025,11219,8207,3012,0.268,17.2,17.9,15.3,0.855,145000000,120000000,0.828,,224500,17371316100000,77377800,20260909
042660,"Hanwha Ocean Co., Ltd.",한화오션,KOSPI,기타 운송장비,2025,11178,10452,726,0.065,15.91,16.6,6,0.361,99000000,69000000,0.697,,88100,26995020011400,306413394,20260909
010140,"SAMSUNG HEAVY INDUSTRIES CO.,LTD",삼성중공업,KOSPI,기타 운송장비,2025,10589,10144,445,0.042,17.24,17.54,10.39,0.592,107482649.84,82251685.39,0.765,,21600,19008000000000,880000000,20260909
032640,LG Uplus Corp,LG유플러스,KOSPI,통신업,2025,9765,7775,1990,0.204,11.31,11.7,9.8,0.838,121000000,99000000,0.818,,14910,6328217484120,424427732,20260909
058850,ktcs corporation,KTcs,KOSPI,정보서비스업,2025,9404,2036,7368,0.783,6.35,5.43,6.61,1.217,26919941.06,21459283.39,0.797,,2175,90054678750,41404450,20260909
028260,SAMSUNG C&T CORPORATION,삼성물산,KOSPI,도매·상품중개,2025,9261,7180,2081,0.225,15.01,15.8,12.3,0.778,132000000,92000000,0.697,,376000,60975010456000,162167581,20260909
058860,ktis Corporation,KTis,KOSPI,정보서비스업,2025,9088,2208,6880,0.757,6.04,5.52,6.21,1.125,38695652.17,34509156.98,0.892,,2565,89267130000,34802000,20260909
097950,CJ CHEILJEDANG CORP.,CJ제일제당,KOSPI,식료품 제조,2025,8232,5792,2440,0.296,9.35,10.27,7.15,0.696,88270372.93,74227459.02,0.841,,181400,2730829340400,15054186,20260909
