ticker,company_name_en,name_english,name_arabic,title,category,rank_order
2POINTZERO,Two Point Zero Group PJSC,H.H. Sheikh Zayed Bin Hamadan Bin Zayed Bin Sultan Al Nahyan,سمو الشيخ زايد بن حمدان بن زايد بن سلطان آل نهيان,Chairman,Board,1
2POINTZERO,Two Point Zero Group PJSC,H.E. Mariam Mohammed Saeed Hareb Almheiri,مريم محمد سعيد حارب المهيرى,Vice Chairman,Board,2
2POINTZERO,Two Point Zero Group PJSC,Samia Toufic Bouazza,ساميه توفيق بوعزه,CE/ CEO,Management,5
2POINTZERO,Two Point Zero Group PJSC,H.E. Mariam Mohammed Saeed Hareb Almheiri,مريم محمد سعيد حارب المهيرى,Managing Director,Board,7
2POINTZERO,Two Point Zero Group PJSC,Naveed Khan Muhammed Ashraf,نويد خان محمد أشرف,Top Management,Management,10
2POINTZERO,Two Point Zero Group PJSC,Mr. Richard Matthew Gerson,السيد/ ريشارد ماثيو جيرسون,Board Member,Board,11
2POINTZERO,Two Point Zero Group PJSC,Mr. Syed Basar Shueb Syed Shueb,السيد/ سيد بصر شعيب سيد شعيب,Board Member,Board,11
2POINTZERO,Two Point Zero Group PJSC,Ms. Samia Toufic Bouazza,السيدة/ سامية توفيق بوعزة,Board Member,Board,11
2POINTZERO,Two Point Zero Group PJSC,Dr. Mohamed Somar Nassouh Ajalyaqin,الدكتور/ محمد سومر نصوح أجليقين,Board Member,Board,11
2POINTZERO,Two Point Zero Group PJSC,Ms. Sofia Abdellatif Lasky,الآنسة/ صوفيه عبداللطيف العسكي,Board Member,Board,11
2POINTZERO,Two Point Zero Group PJSC,H.E. Maryam Eid Khamis Almheiri,معالي/ مريم عيد خميس المهيري,Board Member,Board,11
2POINTZERO,Two Point Zero Group PJSC,H.E. Mohamed Hassan Mohamed Hassan Alsuwaidi,معالي/ محمد حسن محمد حسن السويدي,Board Member,Board,11
2POINTZERO,Two Point Zero Group PJSC,Ruchi Sharma Ved prakash,روشى شارما فيد براكاش,Board Secretary,Unclassified,12
2POINTZERO,Two Point Zero Group PJSC,TBIYTC HOLDING LTD,تي بي اي وي تي سي هولدينج ليمتد,Company,Unclassified,18
2POINTZERO,Two Point Zero Group PJSC,BONFOI INVESTMENT RSC LTD,بونفوي انفيستمنت ريستركتد ليمتد,Company,Unclassified,18
2POINTZERO,Two Point Zero Group PJSC,ARZEN INVESTMENT HOLDING LTD,أرزن انفستمنت هولدينج ليمتد,Company,Unclassified,18
2POINTZERO,Two Point Zero Group PJSC,HESTIA INVESTMENT HOLDINGS LTD,هيستيا إنفيستمنت هولدنجز ال تي دي,Company,Unclassified,18
2POINTZERO,Two Point Zero Group PJSC,CONNAISSANCE INVESTMENT RSC LTD,شركة كوننيسانس للاستثمار RSC المحدودة,Company,Unclassified,18
2POINTZERO,Two Point Zero Group PJSC,WEST INVESTMENTS SPV RSC LTD,شركة ويست للاستثمارات ذات الغرض الخاص المحدودة,Company,Unclassified,18
2POINTZERO,Two Point Zero Group PJSC,LION HEART INVESTMENT SPV RSC LTD,ليون هارت انفيستمنت اس بي في ريستركتد ليمتد,Company,Unclassified,18
2POINTZERO,Two Point Zero Group PJSC,Sweta Madhavan Rajagopalan,سويتا مادهافان راجاجوبالان,Others,Unclassified,19
2POINTZERO,Two Point Zero Group PJSC,Venkata Purushotham Janaswamy,فنكاتا بروشتام جاناشوامي,Others,Unclassified,19
2POINTZERO,Two Point Zero Group PJSC,Jairajesh Nadar Nadar,جيراجيش نادار نادار,Others,Unclassified,19
2POINTZERO,Two Point Zero Group PJSC,Kapil Bhatnagar Bhatnagar    , كابيل بهاتناجار بهاتناجار,Others,Unclassified,19
2POINTZERO,Two Point Zero Group PJSC,Venkatachalam Krishnan,فنكاتاشالام كريشنان,Others,Unclassified,19
2POINTZERO,Two Point Zero Group PJSC,Nimish Goel Goel, نيمش جول جول,Others,Unclassified,19
2POINTZERO,Two Point Zero Group PJSC,Yelena Ligay,يلينا لجاى,Others,Unclassified,19
2POINTZERO,Two Point Zero Group PJSC,Rogelio Jr Mallari Gomez,روجيليو جر ماللرى جوميز,Others,Unclassified,19
2POINTZERO,Two Point Zero Group PJSC,Pramika Satish,براميكا ساتيش,Others,Unclassified,19
2POINTZERO,Two Point Zero Group PJSC,Obada Mhd Walid Alkowatly,عباده محمد وليد القوتلى,Others,Unclassified,19
2POINTZERO,Two Point Zero Group PJSC,Faisal Javed Khan Javed Aslam Khan,فيصل جلويد خان جاويد اسلم خان,Others,Unclassified,19
2POINTZERO,Two Point Zero Group PJSC,Faeza Bibi Sohawon,فايزة بيبى سوهاون,Others,Unclassified,19
2POINTZERO,Two Point Zero Group PJSC,Mohamed Althaf Mohamed Mahibal,محمد الطاف محمد مهيبال,Others,Unclassified,19
2POINTZERO,Two Point Zero Group PJSC,Michail Katounas,ميخائيل كاتوناس,Others,Unclassified,19
2POINTZERO,Two Point Zero Group PJSC,YUNIOR FROMETA CARBONELL,ينيور فروميتا كاربونيل,Others,Unclassified,19
ABNIC,Al Buhaira National Insurance Company,Sheikh Faisal Bin Khalid Bin Sultan Alqassemi , الشيخ فيصل بن خالد بن سلطان القاسمي ,Chairman,Board,1
ABNIC,Al Buhaira National Insurance Company,Sheikh Abdulla Mohd Ali Al Thani,الشيخ عبدالله بن محمد علي آل ثاني,Vice Chairman,Board,2
ABNIC,Al Buhaira National Insurance Company,Issam Mohd Saleem Mehdawi,عصام محمد سليم مهداوي,General Manager,Management,8
ABNIC,Al Buhaira National Insurance Company,Salah Fouad Fares Daou,صلاح فؤاد فارس ضو,Top Management,Management,10
ABNIC,Al Buhaira National Insurance Company,SUKESH SAROJ KUMAR SEN,سوكيش ساروج كومار سين,Top Management,Management,10
ABNIC,Al Buhaira National Insurance Company,YOUSSEF ASSAAD,يوسف اسعد,Top Management,Management,10
ABNIC,Al Buhaira National Insurance Company,MAHMOUD HASAN MAHMOUD SHALAB,محمود حسن محمود شلعب,Top Management,Management,10
ABNIC,Al Buhaira National Insurance Company,KHALED MOHAMMAD ABDULRAHEEM AWWAD,خالد محمد عبدالرحيم عواد,Top Management,Management,10
ABNIC,Al Buhaira National Insurance Company,AYED F S SALEH,عائد فتحى سعيد صالح,Top Management,Management,10
ABNIC,Al Buhaira National Insurance Company,MONTASER QASIM M KHASSAWNEH,منتصر قاسم محمد خصاونه,Top Management,Management,10
ABNIC,Al Buhaira National Insurance Company,NABIL ZAKI SALAMAH ALSHANAWANI,نبيل زكى سلامه الشنوانى,Top Management,Management,10
ABNIC,Al Buhaira National Insurance Company,MOHD RADI MOHD MOHD,محمد راضى محمد محمد,Top Management,Management,10
ABNIC,Al Buhaira National Insurance Company,AHMED MOHAMED HELMY ALY HELMY,احمد محمد حلمى على حلمى,Top Management,Management,10
ABNIC,Al Buhaira National Insurance Company,Ms. NOURA MAHMOUD MOHAMED AL-ALI,الانسة نوره محمود محمد المحمود آل علي,Board Member,Board,11
ABNIC,Al Buhaira National Insurance Company,Mr. ABDULLA MOHAMED  SALIH AL ZAROONI,السيد عبدالله محمد صالح الزرعوني,Board Member,Board,11
ABNIC,Al Buhaira National Insurance Company,SHEIKH SAOUD NASSER RASHID ABDULAZIZ ALMOALLA,الشيخ سعود بن ناصر بن راشد بن عبدالعزيز المعلا,Board Member,Board,11
ABNIC,Al Buhaira National Insurance Company,SHEIKH AHMED ABDULLA BIN MOHAMMED ALI AL THANI,الشيخ احمد عبدالله محمد علي ال ثاني,Board Member,Board,11
ABNIC,Al Buhaira National Insurance Company,Mr.  Rashid Ali Rashid Deemas Alsuwaidi,السيد راشد علي راشد ديماس السويدي,Board Member,Board,11
ABNIC,Al Buhaira National Insurance Company,SHEIKH KHALED BIN ABDULLA SULTAN AL QASIMI,الشيخ خالد عبدالله سلطان القاسمي,Board Member,Board,11
ABNIC,Al Buhaira National Insurance Company,BASSAM I MOHAMMED ELAYYAN,بسام ابراهيم محمد عليان,Board Member,Board,11
ABNIC,Al Buhaira National Insurance Company,SHIRAZ HUSSAIN HUSSAIN PADANI,شيراز حسين حسين بدانى,Others,Unclassified,19
ABNIC,Al Buhaira National Insurance Company,AHMED GALAL MOHAMED EISSA ALY,احمد جلال محمد عيسى على,Others,Unclassified,19
ABNIC,Al Buhaira National Insurance Company,MOHAMAD AMIN EL JAZZAR,محمد امين اديب الجزار,Others,Unclassified,19
ADAVIATION,Abu Dhabi Aviation Co.,Mansour Mohamed AlMulla,منصور محمد الملا,Chairman,Board,1
ADAVIATION,Abu Dhabi Aviation Co.,Mahmood Alhay Hamad Khamis Alhameli,محمود الحاي حمد خميس الهاملي,CE/ CEO,Management,5
ADAVIATION,Abu Dhabi Aviation Co.,Mohannad Y .M. Abdelhadi,مهند يوسف محمد عبداالهادي,Top Management,Management,10
ADAVIATION,Abu Dhabi Aviation Co.,Ashraf Anis Ibrahim Fahmy,أشرف أنيس إبراهيم فهمي,Top Management,Management,10
ADAVIATION,Abu Dhabi Aviation Co.,Mohamed Saeed Salem Kaddas Alremeithi,محمد سعيد سالم كداس الرميثي,Top Management,Management,10
ADAVIATION,Abu Dhabi Aviation Co.,Mohamed Khalil Mohamed Sharif Foulathi Alkhoori, محمد خليل محمد شريف فولاذي الخوري,Board Member,Board,11
ADAVIATION,Abu Dhabi Aviation Co.,TANSEL KILICARSLAN,تانسيل كيليكارسلان,Board Member,Board,11
ADAVIATION,Abu Dhabi Aviation Co.,ROQUE MANUEL SOLABARRIETA CHELECH,روقو مانويل سولاباريتا تشيش,Board Member,Board,11
ADAVIATION,Abu Dhabi Aviation Co.,MOHAMMAD ADNAN ABDULRAHMAN ABDULLA SHARAFI,محمد عدنان عبدالرحمن عبدالله شرفى,Board Member,Board,11
ADAVIATION,Abu Dhabi Aviation Co.,JAWAD SHAFIQUE MUHAMMAD SHAFIQUE,جواد شفيق محمد شفيق,Board Member,Board,11
ADAVIATION,Abu Dhabi Aviation Co.,ISMAIL ALI MOHAMMAD SULAIMAN ABDULLA,اسماعيل على محمد سليمان عبدالله,Board Member,Board,11
ADAVIATION,Abu Dhabi Aviation Co.,EVGENY GLUSHKOV,ايفجنى جلوشكوف,Board Member,Board,11
ADAVIATION,Abu Dhabi Aviation Co.,BUTHAINA ABDULLA MOHAMED ALI ALMAZROUEI,بثينه عبدالله محمد على المزروعى,Board Member,Board,11
ADCB,Abu Dhabi Commercial Bank,H.E.Khaldoon Khalifa Alshaikhahmad Abdulaziz Almubarak,معالي خلدون خليفة الشيخ احمد عبد العزيز المبارك,Chairman,Board,1
ADCB,Abu Dhabi Commercial Bank,H.E. Hussain Jasim Naser Mohamed Alnowais,سعادة حسين جاسم ناصر محمد النويس,Vice Chairman,Board,2
ADCB,Abu Dhabi Commercial Bank,Ala'a Mohamed Atta Khalil Eraiqat,علاء محمد عطا خليل عريقات,CE/ CEO,Management,5
ADCB,Abu Dhabi Commercial Bank,Ludovic Nobili,لودوفيك نوبيلي,Top Management,Management,10
ADCB,Abu Dhabi Commercial Bank,Rasha Mortada,رشا طلال مرتضى,Top Management,Management,10
ADCB,Abu Dhabi Commercial Bank,Deepak Khullar,ديباك خولار,Top Management,Management,10
ADCB,Abu Dhabi Commercial Bank,Jane Elizabeth Livingston,جاني اليزابيث ليفينجستون,Top Management,Management,10
ADCB,Abu Dhabi Commercial Bank,Mohamed Naji Mohamed Ahmed Jayyash,محمد ناجي محمد أحمد جياش,Top Management,Management,10
