symbol,date,title,period,priorPeriod,revenueAED,expenseAED,netProfitAED,eps,cashAndEquivalentsAED,engPdfUrl
2POINTZERO,2026-07-30 00:00:00.0,"TWO POINT ZERO GROUP - P.J.S.C Financial Results for the Period Ended June 30,2026",Q2 2026,Q2 2025,21854000000,-15548000000,7729000000,0.206,11245000000,https://apigateway.adx.ae/adx/cdn/1.0/content/download/5229012
2POINTZERO,2026-05-04 00:00:00.0,"TWO POINT ZERO GROUP - P.J.S.C Financial Results for the Period Ended March 31,2026",Q1 2026,Q1 2025,9942000000,-6928000000,2285000000,0.056,7253000000,https://apigateway.adx.ae/adx/cdn/1.0/content/download/4860205
2POINTZERO,2026-02-06 00:00:00.0,"TWO POINT ZERO GROUP - P.J.S.C Financial Results for the Period Ended December 31,2025",2025,2024,7004000000,-3548000000,3628000000,0.246,7220000000,https://apigateway.adx.ae/adx/cdn/1.0/content/download/4686232
2POINTZERO,2025-10-29 00:00:00.0,"Multiply Group PJSC Financial Results for the Period Ended September 30,2025",Q3 2025,Q3 2024,2241000000,-2304000000,2691000000,0.24,1999000000,https://apigateway.adx.ae/adx/cdn/1.0/content/download/4577137
ABNIC,2026-08-14 00:00:00.0,"Al Buhaira National Insurance Company Financial Results for the Period Ended June 30,2026",Q2 2026,Q2 2025,873357000,-647314000,77235000,30.89,57983000,https://apigateway.adx.ae/adx/cdn/1.0/content/download/5268915
ABNIC,2026-05-14 00:00:00.0,"Al Buhaira National Insurance Company Financial Results for the Period Ended March 31,2026",Q1 2026,Q1 2025,431541000,-311234000,30969000,12.39,61839000,https://apigateway.adx.ae/adx/cdn/1.0/content/download/4908488
ABNIC,2026-03-31 00:00:00.0,"Al Buhaira National Insurance Company Financial Results for the Period Ended December 31,2025",2025,2024,1646000000,-1397000000,6000000,2.27,108000000,https://apigateway.adx.ae/adx/cdn/1.0/content/download/4797890
ABNIC,2025-11-13 00:00:00.0,"Al Buhaira National Insurance Company Financial Results for the Period Ended September 30,2025",Q3 2025,Q3 2024,1238000000,-1099000000,58000000,23.037,97000000,https://apigateway.adx.ae/adx/cdn/1.0/content/download/4597462
ADAVIATION,2026-08-06 00:00:00.0,"Abu Dhabi Aviation Co. Financial Results for the Period Ended June 30,2026",Q2 2026,Q2 2025,4662000000,-3987000000,421000000,0.29,1813000000,https://apigateway.adx.ae/adx/cdn/1.0/content/download/5241433
ADAVIATION,2026-05-12 00:00:00.0,"Abu Dhabi Aviation Co. Financial Results for the Period Ended March 31,2026",Q1 2026,Q1 2025,2007000000,-1681000000,124000000,0.07,1992000000,https://apigateway.adx.ae/adx/cdn/1.0/content/download/4899888
ADAVIATION,2026-02-11 00:00:00.0,"Abu Dhabi Aviation Co. Financial Results for the Period Ended December 31,2025",2025,2024,7819000000,-6407000000,1066000000,0.785,3006000000,https://apigateway.adx.ae/adx/cdn/1.0/content/download/4695327
ADAVIATION,2025-11-13 00:00:00.0,"Abu Dhabi Aviation Co. Financial Results for the Period Ended September 30,2025",Q3 2025,Q3 2024,5547000000,-4564000000,698000000,0.516,2117000000,https://apigateway.adx.ae/adx/cdn/1.0/content/download/4599034
ADCB,2026-07-23 00:00:00.0,"Abu Dhabi Commercial Bank Financial Results for the Period Ended June 30,2026",Q2 2026,Q2 2025,22022000000,-14415000000,6737000000,0.82,72514000000,https://apigateway.adx.ae/adx/cdn/1.0/content/download/5211994
ADCB,2026-04-23 00:00:00.0,"Abu Dhabi Commercial Bank Financial Results for the Period Ended March 31,2026",Q1 2026,Q1 2025,10746000000,-6965000000,3361000000,0.4,95033000000,https://apigateway.adx.ae/adx/cdn/1.0/content/download/4839656
ADCB,2026-01-29 00:00:00.0,"Abu Dhabi Commercial Bank Financial Results for the Period Ended December 31,2025",2025,2024,42618000000,-29784000000,11445000000,1.45,75566000000,https://apigateway.adx.ae/adx/cdn/1.0/content/download/4676640
ADCB,2025-10-27 00:00:00.0,"Abu Dhabi Commercial Bank Financial Results for the Period Ended September 30,2025",Q3 2025,Q3 2024,31813000000,-22716000000,8103999999.999999,1.04,66694999999.99999,https://apigateway.adx.ae/adx/cdn/1.0/content/download/4572977
ADIB,2025-10-22 00:00:00.0,"Abu Dhabi Islamic Bank Financial Results for the Period Ended September 30,2025",Q3 2025,Q3 2024,13207000000,-3096000000,5316000000,1.307,18555000000,https://apigateway.adx.ae/adx/cdn/1.0/content/download/4567270
ADNH,2026-07-23 00:00:00.0,"Abu Dhabi National Hotels Co. Financial Results for the Period Ended June 30,2026",Q2 2026,Q2 2025,1546000000,-1317000000,102000000,0,685000000,https://apigateway.adx.ae/adx/cdn/1.0/content/download/5211831
ADNH,2026-04-20 00:00:00.0,"Abu Dhabi National Hotels Co. Financial Results for the Period Ended March 31,2026",Q1 2026,Q1 2025,863300000,-688277000,108321000,0.008,611324000,https://apigateway.adx.ae/adx/cdn/1.0/content/download/4837843
ADNH,2026-02-13 00:00:00.0,"Abu Dhabi National Hotels Co. Financial Results for the Period Ended December 31,2025",2025,2024,3486000000,-2637000000,1146000000,0.09,1096000000,https://apigateway.adx.ae/adx/cdn/1.0/content/download/4699612
ADNH,2025-11-13 00:00:00.0,"Abu Dhabi National Hotels Co. Financial Results for the Period Ended September 30,2025",Q3 2025,Q3 2024,2444000000,-1908000000,348000000,0.024,407000000,https://apigateway.adx.ae/adx/cdn/1.0/content/download/4599696
ADNHC,2026-07-17 00:00:00.0,"A D N H Catering plc Financial Results for the Period Ended June 30,2026",Q2 2026,Q2 2025,921515000,-805012000,60399000,0.026,174140000,https://apigateway.adx.ae/adx/cdn/1.0/content/download/5192988
ADNHC,2026-04-17 00:00:00.0,"A D N H Catering plc Financial Results for the Period Ended March 31,2026",Q1 2026,Q1 2025,464401000,-405071000,31382000,0.014,108851000,https://apigateway.adx.ae/adx/cdn/1.0/content/download/4831419
