exchange,symbol,date,weight,tag,title
ADX,2POINTZERO,2026-07-30 00:00:00.0,9,financial-report,"TWO POINT ZERO GROUP - P.J.S.C Financial Results for the Period Ended June 30,2026"
ADX,2POINTZERO,2026-05-04 00:00:00.0,9,financial-report,"TWO POINT ZERO GROUP - P.J.S.C Financial Results for the Period Ended March 31,2026"
ADX,2POINTZERO,2026-03-02 00:00:00.0,9,financial-report,TWO POINT ZERO GROUP - P.J.S.C Sustainability Report
ADX,2POINTZERO,2026-03-02 00:00:00.0,9,financial-report,"TWO POINT ZERO GROUP - P.J.S.C Corporate Governance Report for the year December 31,2025"
ADX,2POINTZERO,2026-03-02 00:00:00.0,9,financial-report,"TWO POINT ZERO GROUP - P.J.S.C Integrated Report December 31,2025"
ADX,2POINTZERO,2026-02-06 00:00:00.0,9,financial-report,"TWO POINT ZERO GROUP - P.J.S.C Financial Results for the Period Ended December 31,2025"
ADX,2POINTZERO,2025-10-29 00:00:00.0,9,financial-report,"Multiply Group PJSC Financial Results for the Period Ended September 30,2025"
ADX,2POINTZERO,2025-10-28 00:00:00.0,9,financial-report,"Multiply Group PJSC Financial Results Press Release for the Period Ended September 30,2025"
ADX,2POINTZERO,2026-08-31 00:00:00.0,8,control-change,Disclosure regarding ePointZero’s acquisition of a majority stake in Azura Power Holding Limited.
ADX,2POINTZERO,2026-07-14 00:00:00.0,8,control-change,"2PointZero’s ePointZero Enters U.S. Market, Completes Acquisition of Traverse Midstream Partners for USD 2.25 Billion"
ADX,2POINTZERO,2026-03-05 00:00:00.0,8,control-change,Notification on acquisition of a majority stake in ISEM Packaging Group.
ADX,2POINTZERO,2026-03-05 00:00:00.0,8,control-change,2PointZero Group completes majority acquisition in Italy-based ISEM Packaging Group 
ADX,2POINTZERO,2025-12-23 00:00:00.0,8,ceo-change,2PointZero Group Announces Key Leadership Appointments to Lead Its Next Phase of Strategic Growth
ADX,2POINTZERO,2025-12-16 00:00:00.0,8,control-change,Two Point Zero Group’s E Point Zero Limited Increases Ownership in Maseera to 100%
ADX,2POINTZERO,2025-12-15 00:00:00.0,8,ceo-change,List of Candidates for the Board of Two Point Zero Group PJSC
ADX,2POINTZERO,2025-11-21 00:00:00.0,8,ceo-change,TWO POINT ZERO GROUP - P.J.S.C Elections (Board Members)
ADX,2POINTZERO,2025-11-17 00:00:00.0,8,control-change,Multiply Group PJSC completes the acquisition all of Two Point Zero Holding shares and IHC’s shares in Ghitha Holding
ADX,2POINTZERO,2025-10-08 00:00:00.0,8,control-change,Multiply Group PJSC signs agreement to acquire a majority stake in ISEM Packaging Group
ADX,2POINTZERO,2026-08-27 00:00:00.0,6,board-outcome,TWO POINT ZERO GROUP - P.J.S.C Board Meeting Results held on 27/08/2026 at 16:00 
ADX,2POINTZERO,2026-07-30 00:00:00.0,6,board-outcome,TWO POINT ZERO GROUP - P.J.S.C Board Meeting Results held on 30/07/2026 at 16:00 
ADX,2POINTZERO,2026-05-04 00:00:00.0,6,board-outcome,TWO POINT ZERO GROUP - P.J.S.C Board Meeting Results held on 01/05/2026 at 15:30 
ADX,2POINTZERO,2026-02-06 00:00:00.0,6,board-outcome,TWO POINT ZERO GROUP - P.J.S.C Board Meeting Results held on 05/02/2026 at 17:00 
ADX,2POINTZERO,2025-12-23 00:00:00.0,6,board-outcome,TWO POINT ZERO GROUP - P.J.S.C Board Meeting Results held on 22/12/2025 at 15:30 
ADX,2POINTZERO,2025-11-25 00:00:00.0,6,board-outcome,TWO POINT ZERO GROUP - P.J.S.C Board Meeting Results held on 25/11/2025 at 15:30 
ADX,2POINTZERO,2025-10-28 00:00:00.0,6,board-outcome,Multiply Group PJSC Board Meeting Results held on 28/10/2025 at 17:00 
ADX,2POINTZERO,2025-10-15 00:00:00.0,6,board-outcome,Multiply Group PJSC Board Meeting Results held on 15/10/2025 at 07:00 
ADX,ABNIC,2026-08-14 00:00:00.0,9,financial-report,"Al Buhaira National Insurance Company Financial Results for the Period Ended June 30,2026"
ADX,ABNIC,2026-05-14 00:00:00.0,9,financial-report,"Al Buhaira National Insurance Company Board of Directors Report for the Period Ended March 31,2026"
ADX,ABNIC,2026-05-14 00:00:00.0,9,financial-report,"Al Buhaira National Insurance Company Financial Results for the Period Ended March 31,2026"
ADX,ABNIC,2026-04-08 00:00:00.0,9,financial-report,"Al Buhaira National Insurance Company Integrated Report December 31,2025"
ADX,ABNIC,2026-04-08 00:00:00.0,9,financial-report,Al Buhaira National Insurance Company Sustainability Report
ADX,ABNIC,2026-03-31 00:00:00.0,9,financial-report,"Al Buhaira National Insurance Company Financial Results for the Period Ended December 31,2025"
ADX,ABNIC,2026-03-31 00:00:00.0,9,financial-report,"Al Buhaira National Insurance Company Management Report for the Period Ended December 31,2025"
ADX,ABNIC,2026-03-31 00:00:00.0,9,financial-report,"Al Buhaira National Insurance Company Corporate Governance Report for the year December 31,2025"
ADX,ABNIC,2026-02-13 00:00:00.0,9,financial-report,"Al Buhaira National Insurance Company Preliminary Financial Results for the Period Ended December 31,2025"
ADX,ABNIC,2025-11-13 00:00:00.0,9,financial-report,"Al Buhaira National Insurance Company Financial Results for the Period Ended September 30,2025"
ADX,ABNIC,2025-11-13 00:00:00.0,9,financial-report,"Al Buhaira National Insurance Company Board of Directors Report for the Period Ended September 30,2025"
ADX,ABNIC,2026-08-13 00:00:00.0,6,board-outcome,Al Buhaira National Insurance Company Board Meeting Results held on 13/08/2026 at 10:30 
