exchange,symbol,date,title,period,priorPeriod,revenueAED,expenseAED,netProfitAED,eps,cashAndEquivalentsAED,totalAssetsAED,totalLiabilitiesAED,totalEquityAED,balanceSheetReconciled,liabilitiesDerived,unitHint,balanceSheetReason,engPdfUrl
ADX,2POINTZERO,2026-07-30 00:00:00.0,"TWO POINT ZERO GROUP - P.J.S.C Financial Results for the Period Ended June 30,2026",Q2 2026,Q2 2025,21854000000,-15548000000,7729000000,0.206,11245000000,146821745,50918140,95903605,true,false,AED'000,,https://apigateway.adx.ae/adx/cdn/1.0/content/download/5229012
ADX,2POINTZERO,2026-05-04 00:00:00.0,"TWO POINT ZERO GROUP - P.J.S.C Financial Results for the Period Ended March 31,2026",Q1 2026,Q1 2025,9942000000,-6928000000,2285000000,0.056,7253000000,135400105,47029874,88370231,true,false,,,https://apigateway.adx.ae/adx/cdn/1.0/content/download/4860205
ADX,2POINTZERO,2026-02-06 00:00:00.0,"TWO POINT ZERO GROUP - P.J.S.C Financial Results for the Period Ended December 31,2025",2025,2024,7004000000,-3548000000,3628000000,0.246,7220000000,133668546,39023968,94644578,false,true,,,https://apigateway.adx.ae/adx/cdn/1.0/content/download/4686232
ADX,2POINTZERO,2025-10-29 00:00:00.0,"Multiply Group PJSC Financial Results for the Period Ended September 30,2025",Q3 2025,Q3 2024,2241000000,-2304000000,2691000000,0.24,1999000000,53254951,19377430,33877521,true,false,,,https://apigateway.adx.ae/adx/cdn/1.0/content/download/4577137
ADX,ABNIC,2026-08-14 00:00:00.0,"Al Buhaira National Insurance Company Financial Results for the Period Ended June 30,2026",Q2 2026,Q2 2025,873357000,-647314000,77235000,30.89,57983000,,,,,,,no-reconciling-total-assets-liabilities-equity,https://apigateway.adx.ae/adx/cdn/1.0/content/download/5268915
ADX,ABNIC,2026-05-14 00:00:00.0,"Al Buhaira National Insurance Company Financial Results for the Period Ended March 31,2026",Q1 2026,Q1 2025,431541000,-311234000,30969000,12.39,61839000,,,,,,,no-reconciling-total-assets-liabilities-equity,https://apigateway.adx.ae/adx/cdn/1.0/content/download/4908488
ADX,ABNIC,2026-03-31 00:00:00.0,"Al Buhaira National Insurance Company Financial Results for the Period Ended December 31,2025",2025,2024,1646000000,-1397000000,6000000,2.27,108000000,,,,,,,no-reconciling-total-assets-liabilities-equity,https://apigateway.adx.ae/adx/cdn/1.0/content/download/4797890
ADX,ABNIC,2025-11-13 00:00:00.0,"Al Buhaira National Insurance Company Financial Results for the Period Ended September 30,2025",Q3 2025,Q3 2024,1238000000,-1099000000,58000000,23.037,97000000,,,,,,,no-reconciling-total-assets-liabilities-equity,https://apigateway.adx.ae/adx/cdn/1.0/content/download/4597462
ADX,ADAVIATION,2026-08-06 00:00:00.0,"Abu Dhabi Aviation Co. Financial Results for the Period Ended June 30,2026",Q2 2026,Q2 2025,4662000000,-3987000000,421000000,0.29,1813000000,16141287,7261125,8880162,false,true,AED'000,,https://apigateway.adx.ae/adx/cdn/1.0/content/download/5241433
ADX,ADAVIATION,2026-05-12 00:00:00.0,"Abu Dhabi Aviation Co. Financial Results for the Period Ended March 31,2026",Q1 2026,Q1 2025,2007000000,-1681000000,124000000,0.07,1992000000,,,,,,,no-reconciling-total-assets-liabilities-equity,https://apigateway.adx.ae/adx/cdn/1.0/content/download/4899888
ADX,ADAVIATION,2026-02-11 00:00:00.0,"Abu Dhabi Aviation Co. Financial Results for the Period Ended December 31,2025",2025,2024,7819000000,-6407000000,1066000000,0.785,3006000000,16077776,7037983,9039793,false,true,,,https://apigateway.adx.ae/adx/cdn/1.0/content/download/4695327
ADX,ADAVIATION,2025-11-13 00:00:00.0,"Abu Dhabi Aviation Co. Financial Results for the Period Ended September 30,2025",Q3 2025,Q3 2024,5547000000,-4564000000,698000000,0.516,2117000000,15478044,6792879,8685165,true,false,AED'000,,https://apigateway.adx.ae/adx/cdn/1.0/content/download/4599034
ADX,ADCB,2026-07-23 00:00:00.0,"Abu Dhabi Commercial Bank Financial Results for the Period Ended June 30,2026",Q2 2026,Q2 2025,22022000000,-14415000000,6737000000,0.82,72514000000,833184,743930,89254,true,false,,,https://apigateway.adx.ae/adx/cdn/1.0/content/download/5211994
ADX,ADCB,2026-04-23 00:00:00.0,"Abu Dhabi Commercial Bank Financial Results for the Period Ended March 31,2026",Q1 2026,Q1 2025,10746000000,-6965000000,3361000000,0.4,95033000000,808857,723083,85774,true,false,,,https://apigateway.adx.ae/adx/cdn/1.0/content/download/4839656
ADX,ADCB,2026-01-29 00:00:00.0,"Abu Dhabi Commercial Bank Financial Results for the Period Ended December 31,2025",2025,2024,42618000000,-29784000000,11445000000,1.45,75566000000,773654,684913,88741,true,false,,,https://apigateway.adx.ae/adx/cdn/1.0/content/download/4676640
ADX,ADCB,2025-10-27 00:00:00.0,"Abu Dhabi Commercial Bank Financial Results for the Period Ended September 30,2025",Q3 2025,Q3 2024,31813000000,-22716000000,8103999999.999999,1.04,66694999999.99999,,,,,,,no-reconciling-total-assets-liabilities-equity,https://apigateway.adx.ae/adx/cdn/1.0/content/download/4572977
ADX,ADIB,2025-10-22 00:00:00.0,"Abu Dhabi Islamic Bank Financial Results for the Period Ended September 30,2025",Q3 2025,Q3 2024,13207000000,-3096000000,5316000000,1.307,18555000000,,,,,,,no-reconciling-total-assets-liabilities-equity,https://apigateway.adx.ae/adx/cdn/1.0/content/download/4567270
